,gpu_ret,cpu_ret,ram_ret,btc_ret,oil_ret,fx_ret,soxx_ret,csi,csi_chg,btc_ret_z,fx_ret_z,soxx_ret_z,oil_ret_z,csi_chg_z
2024-03-03,,,,0.20036830427828534,0.02337092793902329,0.00603216802322315,0.06592013903365146,0.5,,3.1358613317834196,0.44133163779433204,1.3149210870373922,0.4377115889793254,
2024-03-10,0.0021887343214245,-0.001477993448885,0.0028963188092834,0.07740903184378567,-0.01775088783689771,-0.01055573947546673,0.006670529093464772,0.5,0.0,1.174643329524037,-1.0638887487851054,0.04845097988038028,-0.4302079976694262,0.005861380720525969
2024-03-17,0.003091853496721,0.0005075535352144,0.0014727700884034,0.0010362282784193155,0.038948831117230576,0.0005599411496861606,-0.04194042093047745,0.5,0.0,-0.04351382340809123,-0.05522933294210882,-0.9906160308219061,0.7664997767616566,0.005861380720525969
2024-03-24,0.0020496207331638,0.0006733549823636,-0.0030157434105882,-0.006680369269300712,0.0010540958878983986,0.00960634451770126,0.031144280820618597,0.5,0.0,-0.16659465925835992,0.765659665614983,0.5715814275527409,-0.033308848315265725,0.005861380720525969
2024-03-31,0.0010933686827927,0.001044098580576,-0.0015083835246113,0.05981312117054571,0.023712903446533318,0.011264866513997163,0.0020824911784504962,0.5,0.0,0.8939860346714723,0.9161573170283508,-0.04961908126828311,0.4449293451878413,0.005861380720525969
2024-04-07,-0.0001153440516104,-0.0086746720647496,-0.0051279521639672,-0.023601026930318625,0.04131564133055754,0.001155012422158208,-0.019171458265903496,0.6,0.09999999999999998,-0.4364815718743576,-0.0012313581605737298,-0.5039257283073826,0.8164538194824459,0.05500680368493594
2024-04-14,0.0002916726195209,0.0006425134444731,0.0035704723332439,-0.03217635993684809,-0.007928697411268004,0.012121346384044607,-0.0161933450638303,0.6,0.0,-0.573259361257697,0.9938760384036744,-0.440268071320899,-0.22290023916354754,0.005861380720525969
2024-04-21,0.0024268508891515,-0.0051642772684121,0.0031641766240276,-0.016554570454768935,-0.03556125886598238,0.008415811406386808,-0.09458140673127247,0.6,0.0,-0.32408958208483635,0.6576282752669304,-2.1158257156668547,-0.806114789963251,0.005861380720525969
2024-04-28,-0.0009344710930582,-0.0043474434548666,0.0003316461810689,-0.02603384474354442,0.0250027060452096,-0.0055978288086713235,0.08920173440991785,0.6,0.0,-0.47528536435822577,-0.6139978742978013,1.812568997643593,0.4721519985940437,0.005861380720525969
2024-05-05,-0.0006387161801975,-0.0029576162654787,-0.0011429578184124,-0.0016807800388285443,-0.07588007239530636,-0.005160142582478322,-0.003371399658979257,-1.8,-2.4,-0.08685049512525303,-0.5742813379810442,-0.16619689030829554,-1.6570861615394425,-1.1736287704253137
2024-05-12,0.0006126049351804,0.0005006047730786,-0.0011858774380771,-0.030127045272386965,-0.002051260676359412,0.0005567755596134205,0.018652833259340085,-1.8,0.0,-0.5405724989116605,-0.05551658500891823,0.3045746920240319,-0.09885069598887473,0.005861380720525969
2024-05-19,-0.0010798173335266,-0.0018316731189174,0.0009069957027287,0.06339220822401614,0.01427142301991502,-0.014280466399256397,0.035679771521857084,-1.8,0.0,0.951072985675179,-1.4018780280581136,0.6685282834089372,0.24565687546336204,0.005861380720525969
2024-05-26,-0.0014252757375653,-0.0052687462173019,-0.00188032889608,0.0422923185570383,-0.02239708963236886,0.015905021781582818,0.04422324785858578,-1.8,0.0,0.6145267241266034,1.337214421802749,0.8511464880282281,-0.5282710200754861,0.005861380720525969
2024-06-02,-0.0015981074351824,-0.0050960964156617,-0.0023531025389362,0.0006708246659137274,-0.006107261968185007,0.0058325357660633514,-0.019257134320668,0.7,2.5,-0.04934206335086027,0.4232166016862798,-0.5057570679966722,-0.1844569100682974,1.2344969548307756
2024-06-09,-0.0020377322181679,0.0036266217650564,-0.0024960982326714,0.025396757205708553,-0.024809011560201988,-0.007566972980826314,0.025358618266754007,0.7,0.0,0.34504010124375234,-0.7926820122625132,0.4479119437879654,-0.579177193432251,0.005861380720525969
2024-06-16,-0.0003430156027606,-0.0030563793408595,-0.000840704575507,-0.041823395653565854,0.036986463143864334,0.006199378205427486,0.050139360205495365,0.7,0.0,-0.727130962329058,0.45650462903011674,0.9776043574641176,0.7250819169672923,0.005861380720525969
2024-06-23,0.0014922901342778,0.0035696524545059,0.0008841555017543,-0.048882374524946925,0.031218966956886973,0.01307526436010864,-0.009007099837416987,0.7,0.0,-0.8397226861252116,1.080436491240151,-0.286660903760809,0.6033527857957364,0.005861380720525969
2024-06-30,0.0002550683627858,0.0028178225272856,5.5016553834403045e-05,-0.013835177571756674,0.013632670064873231,-0.0035051481648231686,-0.012691370871628749,0.7,0.0,-0.2807148762022788,-0.4241037862116934,-0.36541279995394943,0.23217531609517966,0.005861380720525969
2024-07-07,-0.0024695757373349,-0.0006174303482507,-0.0017687258990757,-0.11805492411097163,0.0015032931420506657,-0.004842414268821926,0.03243265419823871,3.6,2.9000000000000004,-1.9430347570595832,-0.545450026066212,0.5991206193087709,-0.023828063291763003,1.4310786466884158
2024-07-14,0.0006238310994871,0.0012314577829501,0.0005413374163337,0.08294708041303878,-0.01760262433442339,-0.00652731020544195,0.01993667581928893,3.6,0.0,1.2629759972144046,-0.6983409023425367,0.33201703681098604,-0.427078739017916,0.005861380720525969
2024-07-21,0.0003341364029832,0.0016190569427103,-0.0013331763040821,0.12502067821228025,-0.028631343567988132,0.010136070799365626,-0.09456414390986811,3.6,0.0,1.9340559067645287,0.8137281033327061,-2.1154567200347167,-0.6598515691531451,0.005861380720525969
2024-07-28,0.002546982257458,-0.0023982811042188,7.020137984481881e-05,-0.0026350933210501637,-0.018320004920679978,-0.0027541693597434858,-0.03035806759460069,3.6,0.0,-0.10207192862784054,-0.35595844555409195,-0.7430413331112127,-0.4422198180326768,0.005861380720525969
2024-08-04,0.0021483515563459,0.0019553757544536,-5.457091387664623e-05,-0.1797119869838042,-0.054717964327301694,-0.009060622556364528,-0.10353581235699671,0.6,-3.0,-2.926473738752106,-0.9282188056575459,-2.307227601076509,-1.2104374000381648,-1.4685013082117735
2024-08-11,0.0003600475255901,-0.0015206390062077,-0.0014844339205509,0.015213893826707903,0.03643281549965938,0.0034929023029093287,0.02374754833274384,0.6,0.0,0.182621972232113,0.21091351366019642,0.41347506033804765,0.7133965955523562,0.005861380720525969
