hw,n_months,coef,p,r2
GPU,23,-0.00044229367527028876,0.9286697082115197,0.00026824614593412566
CPU,23,-0.0012515866314160976,0.2543445990603135,0.006789819259153895
RAM,23,0.0040392784524402505,0.6445910539887212,0.0020881151463458814
