date,gpu_ret,gpu_ret_n,gpu_act_n,gpu_in_n,gpu_out_n,gpu_match_n,gpu_in_sh,gpu_out_sh,gpu_match_sh,gpu_med_px,gpu_logp_iqr,gpu_px_cv,gpu_ret_iqr,gpu_ret_abs,gpu_high_sh,gpu_mid_sh,gpu_low_sh,gpu_vram_avg,gpu_vram_hi_sh,cpu_ret,cpu_ret_n,cpu_act_n,cpu_in_n,cpu_out_n,cpu_match_n,cpu_in_sh,cpu_out_sh,cpu_match_sh,cpu_med_px,cpu_logp_iqr,cpu_px_cv,cpu_ret_iqr,cpu_ret_abs,cpu_amd_sh,cpu_intel_sh,cpu_box_sh,cpu_bulk_sh,cpu_imp_sh,ram_ret,ram_ret_n,ram_act_n,ram_in_n,ram_out_n,ram_match_n,ram_in_sh,ram_out_sh,ram_match_sh,ram_med_px,ram_logp_iqr,ram_px_cv,ram_ret_iqr,ram_ret_abs,ram_ddr5_sh,ram_cap_avg,ram_spd_avg,ram_cap_hi_sh
2024-03-03,,0,727,727,0,0,1.0,,0.0,884000.0,0.9741751162197723,0.7347471826634288,,,0.5061898211829436,0.40990371389270974,0.08390646492434663,11.997248968363136,0.5914718019257221,,0,167,167,0,0,1.0,,0.0,478010.0,0.8973112769704805,8.377458733470034,,,0.39520958083832336,0.6047904191616766,0.8323353293413174,0.6227544910179641,0.5688622754491018,,0,783,783,0,0,1.0,,0.0,108900.0,1.4423392433391875,1.0738418070060938,,,0.2988505747126437,28.620689655172413,3948.8314176245212,0.5057471264367817
2024-03-10,0.0021887343214245583,646,760,40,7,720,0.05263157894736842,0.009628610729023384,0.9473684210526315,896115.0,0.9790690105837996,0.7478871080644024,0.00020071843153246505,0.0001118585332040567,0.5052631578947369,0.4118421052631579,0.08289473684210526,11.960526315789474,0.5855263157894737,-0.001477993448885099,147,171,5,1,166,0.029239766081871343,0.005988023952095809,0.9707602339181286,478010.0,0.9045380739678173,11.120599552608333,0.0005609045990215833,0.0,0.38596491228070173,0.6140350877192983,0.8187134502923976,0.6198830409356725,0.5730994152046783,0.0028963188092834364,631,938,237,82,701,0.2526652452025586,0.10472541507024266,0.7473347547974414,110020.0,1.4819104381888213,1.0640672305391161,0.0,0.0,0.2995735607675906,28.76545842217484,3954.7110874200425,0.5053304904051172
2024-03-17,0.0030918534967210704,655,750,18,28,732,0.024,0.03684210526315789,0.976,899590.0,0.9502572314571527,0.7755518509563546,0.002399318597452016,0.00015634568533950954,0.5066666666666667,0.4106666666666667,0.08266666666666667,11.933333333333334,0.584,0.000507553535214458,146,170,6,7,164,0.03529411764705882,0.04093567251461988,0.9647058823529412,483400.0,0.9252935370804742,1.954561965086723,0.00010254242528251467,6.141363124712029e-07,0.38823529411764707,0.611764705882353,0.8294117647058824,0.6294117647058823,0.5764705882352941,0.0014727700884034284,689,951,184,171,767,0.19348054679284962,0.18230277185501065,0.8065194532071503,113400.0,1.5121883176890094,1.0503500012780507,0.00010668198407426388,5.025251891765947e-05,0.31335436382754994,29.44900105152471,3986.031545741325,0.5184016824395373
2024-03-24,0.0020496207331638524,648,747,21,24,726,0.028112449799196786,0.032,0.9718875502008032,905220.0,0.9725656359794002,0.7323338576667727,0.0013157904501968076,6.797575196593186e-05,0.5100401606425703,0.4042838018741633,0.0856760374832664,11.898259705488622,0.5823293172690763,0.0006733549823636798,148,170,5,5,165,0.029411764705882353,0.029411764705882353,0.9705882352941176,483400.0,0.9391198271469197,1.9470317853789674,0.0,0.0,0.38235294117647056,0.6176470588235294,0.8352941176470589,0.6235294117647059,0.5823529411764706,-0.003015743410588236,681,953,195,193,758,0.20461699895068206,0.20294426919032596,0.7953830010493179,114000.0,1.4947856606072278,1.050171507714347,0.00041202198220835484,0.0,0.3179433368310598,29.794333683105982,3995.579223504722,0.5225603357817419
2024-03-31,0.0010933686827927884,652,760,31,18,729,0.04078947368421053,0.024096385542168676,0.9592105263157895,904525.0,0.9595508929954448,0.7366832561812949,0.0002550605782705162,7.36108708387917e-06,0.5013157894736842,0.4118421052631579,0.0868421052631579,11.889473684210527,0.5842105263157895,0.0010440985805760805,144,171,9,8,162,0.05263157894736842,0.047058823529411764,0.9473684210526315,478010.0,0.9875882955499797,8.801986581588817,0.0011634562513522795,6.141363124712029e-07,0.38011695906432746,0.6198830409356725,0.8362573099415205,0.631578947368421,0.5730994152046783,-0.001508383524611392,671,937,186,202,751,0.19850586979722518,0.21196222455403987,0.8014941302027748,114640.0,1.5123506564389384,1.0448893611543908,0.0002839547013691046,0.0,0.31696905016008536,29.553895410885804,4002.0565635005337,0.5208110992529349
2024-04-07,-0.0001153440516104119,663,758,16,18,742,0.021108179419525065,0.02368421052631579,0.978891820580475,907545.0,0.9832579969172066,0.7278776234113635,0.0007552717168723966,0.0004363629246411094,0.5065963060686016,0.40897097625329815,0.08443271767810026,11.92084432717678,0.5844327176781002,-0.008674672064749624,140,169,12,14,157,0.07100591715976332,0.08187134502923976,0.9289940828402367,462480.0,1.0012149282072311,1.976714029185696,0.014846363673543195,0.0010687799982491697,0.3727810650887574,0.6272189349112426,0.8224852071005917,0.6390532544378699,0.5621301775147929,-0.0051279521639672615,699,977,197,157,780,0.2016376663254862,0.16755602988260407,0.7983623336745138,110340.0,1.4313319595947362,1.0551628561994193,0.005931924119701559,0.0004167534963421815,0.3224155578300921,28.88229273285568,3993.3664278403276,0.5076765609007164
2024-04-14,0.0002916726195209212,663,759,22,21,737,0.028985507246376812,0.027704485488126648,0.9710144927536232,901390.0,0.9799118070993611,0.7353829343277781,0.00040315986595196307,6.6941125304254e-05,0.5059288537549407,0.4057971014492754,0.08827404479578392,11.88274044795784,0.5810276679841897,0.0006425134444731917,144,164,2,7,162,0.012195121951219513,0.04142011834319527,0.9878048780487805,472455.0,1.0195294030386997,1.9386988996012027,0.0014106950789591899,0.000788904168365967,0.3719512195121951,0.6280487804878049,0.8170731707317073,0.6341463414634146,0.5487804878048781,0.003570472333243983,693,986,214,205,772,0.21703853955375255,0.2098259979529171,0.7829614604462475,110615.0,1.5187577571307305,1.197699851733176,0.0005421190362255857,5.76990427809676e-05,0.3265720081135903,29.16632860040568,4006.2048681541582,0.5070993914807302
2024-04-21,0.002426850889151564,657,768,35,26,733,0.045572916666666664,0.034255599472990776,0.9544270833333334,913225.0,0.9767361579979976,0.7495970952359234,0.00036765796647664217,5.4410220428735556e-05,0.5065104166666666,0.40625,0.08723958333333333,11.821614583333334,0.57421875,-0.005164277268412123,139,171,12,5,159,0.07017543859649122,0.03048780487804878,0.9298245614035088,454400.0,1.0228345907468324,1.9360102925113838,0.0028385230722953736,0.0011896966475415383,0.36257309941520466,0.6374269005847953,0.8187134502923976,0.6374269005847953,0.5672514619883041,0.0031641766240276337,703,978,196,204,782,0.20040899795501022,0.20689655172413793,0.7995910020449898,114175.0,1.5437005421711962,1.1632411442644128,0.0017707713939167924,5.826031894162753e-05,0.33640081799591004,29.347648261758692,4047.7014314928424,0.516359918200409
2024-04-28,-0.0009344710930582979,670,779,32,21,747,0.0410783055198973,0.02734375,0.9589216944801027,929000.0,1.011469069360139,0.7332225777040112,0.00041264585028066847,0.0,0.5134788189987163,0.4017971758664955,0.08472400513478819,11.906290115532734,0.5815147625160462,-0.004347443454866658,147,171,6,6,165,0.03508771929824561,0.03508771929824561,0.9649122807017544,454120.0,1.0757367852816504,1.9518379634122047,0.007839173829159662,0.0,0.3684210526315789,0.631578947368421,0.8245614035087719,0.6374269005847953,0.5672514619883041,0.00033164618106899026,708,952,161,187,791,0.16911764705882354,0.19120654396728015,0.8308823529411765,114025.0,1.5259428263794987,1.3891921051784797,0.0,0.0,0.34663865546218486,29.758403361344538,4074.8487394957983,0.523109243697479
2024-05-05,-0.0006387161801975643,665,771,28,36,743,0.03631647211413749,0.04621309370988447,0.9636835278858625,912800.0,0.9988255611583234,0.7330569295167333,0.000763817190033933,5.763705370753769e-06,0.5214007782101168,0.3955901426718547,0.08300907911802853,11.989623865110246,0.5862516212710766,-0.0029576162654787463,144,173,8,6,165,0.046242774566473986,0.03508771929824561,0.953757225433526,424140.0,1.1056316508537947,1.9399386518051998,0.004154869055469135,0.00021406400595580521,0.3815028901734104,0.6184971098265896,0.8208092485549133,0.6242774566473989,0.5780346820809249,-0.001142957818412458,691,944,173,181,771,0.1832627118644068,0.19012605042016806,0.8167372881355932,112935.0,1.5018241821728626,1.4266098654615413,0.0014618659416223423,4.686365021910888e-05,0.3273305084745763,29.463983050847457,4011.219279661017,0.513771186440678
