Date,btc_ret,etc_ret,fx_ret,nvda_ret,nasdaq_ret,sox_ret,ai,ai_resid_z,crypto,crypto_fxadj,crypto_pc1
2024-02-18,,,,,,,,,,,
2024-02-25,-0.008669733867687768,0.023823225895291955,,,,,,,-0.1951334464608732,,0.07985576634869473
2024-03-03,0.20036830427828534,0.2104731855270181,0.00603216802322315,0.042987102732019444,0.017236555832162992,0.06593548565359164,0.5600223832349422,-0.3734551979066858,3.1747444071829323,3.059308383403133,2.930706790155568
2024-03-10,0.07740903184378567,0.06419363523854926,-0.01055573947546673,0.06188987769749055,-0.011732506660111497,0.005704208986959003,0.8573244832757597,1.7711950757214048,1.1925323047720495,1.3640449491950146,1.0488310823182692
2024-03-17,0.0010362282784193155,-0.11373203565911005,0.0005599411496861606,0.0035240466345012322,-0.006983586373403128,-0.04119156472899199,-0.06065100854229249,0.8665471604314602,-0.038664761744117766,-0.030277933208386044,-0.609112572845135
2024-03-24,-0.006680369269300712,-0.0013727599288309023,0.00960634451770126,0.07088166220842229,0.028126693829541694,0.031153000595640634,0.9987469158602699,0.6730889319729082,-0.16306313159192987,-0.29743350197627516,-0.04451864432041837
2024-03-31,0.05981312117054571,0.08379272970056206,0.011264866513997163,-0.042606991610986356,-0.00300902018602045,-0.0006215548364973955,-0.786198160878342,-1.1028242063724838,0.908870679269044,0.7358554036113845,1.007200330574546
2024-04-07,-0.023601026930318625,-0.007845506326148666,0.001155012422158208,-0.0263297467951773,-0.008026309607553017,-0.017704508064705138,-0.5301902956068033,-0.2793074364998776,-0.43583908197247595,-0.4324109740827745,-0.22677443886179768
2024-04-14,-0.03217635993684809,-0.20425663696183172,0.012121346384044607,0.002020443842588371,-0.0045294040023691196,-0.01549146127548262,-0.08429961402373583,0.3560235259575877,-0.5740810260828813,-0.7438507443162335,-1.403970377221318
2024-04-21,-0.016554570454768935,0.010781671544140892,0.008415811406386808,-0.14608676817501376,-0.05679609060065083,-0.09689047884931057,-2.413724010412952,-1.0484590339611892,-0.3222439782572466,-0.43582699697182053,-0.06138636794820181
2024-04-28,-0.02603384474354442,0.021013117404425685,-0.0055978288086713235,0.14095955385391168,0.04139600876151661,0.09483152964839192,2.100929235159631,1.199329016560974,-0.47505825444200905,-0.3635618271417172,-0.0856503926782297
2024-05-05,-0.0016807800388285443,-0.026442648815264036,-0.005160142582478322,0.011941690506545477,0.014239615161480756,-0.004041721232342255,0.07174136269028235,-0.0015570176624255174,-0.08246533621212859,0.01758272876722845,-0.14222917859070436
2024-05-12,-0.030127045272386965,-0.024547602772715393,0.0005567755596134205,0.012190351100410446,0.01135741058384454,0.019286134310149805,0.07565228671537876,-0.3032754903560421,-0.5410442631847693,-0.5268833087592787,-0.3768617260121259
2024-05-19,0.06339220822401614,0.020387003219678235,-0.014280466399256397,0.028528484396938225,0.020898949942587564,0.03574874472742806,0.33261780361314897,-0.3565893126926148,0.9665687245852314,1.2000175796058608,0.6819064144903751
2024-05-26,0.0422923185570383,0.14806726331621078,0.015905021781582818,0.1408723485891583,0.013974699287690129,0.046637479754902955,2.099557674190771,2.610377806429905,0.6264198620446069,0.3826714279661132,1.21716233118582
2024-06-02,0.0006708246659137274,-0.07989185298230694,0.0058325357660633514,0.029284497902568596,-0.011039486237692131,-0.01886316948389677,0.3445083542488994,1.2851819465937775,-0.04455539080065412,-0.12013192958535138,-0.42218053066569167
2024-06-09,0.025396757205708553,-0.07276271534972167,-0.007566972980826314,0.09772605812859325,0.023510564424435998,0.03148596778679469,1.420954517441114,1.487442676397754,0.35404848634805824,0.48748146867617864,-0.16893696703098532
2024-06-16,-0.041823395653565854,-0.05585450553256344,0.006199378205427486,0.08711018645769908,0.03192217596717839,0.05716836203170139,1.2539885059805844,0.5968218175414468,-0.7295997646981779,-0.8032179508112192,-0.6535663030532363
2024-06-23,-0.048882374524946925,-0.11225221173644861,0.01307526436010864,-0.04109696686158504,2.705140910741477e-05,-0.010733841772983865,-0.7624485511024933,-0.9706663032706379,-0.8433967404973639,-1.0253009066289283,-1.0312221054790724
2024-06-30,-0.013835177571756674,0.03866510722808769,-0.0035051481648231686,-0.024230539108141436,0.0024414378590567054,-0.012039284191995847,-0.49717403979687047,-0.5582656747958836,-0.27840496248242247,-0.20250053552668143,0.11868477535561889
2024-07-07,-0.11805492411097163,-0.18366730151716126,-0.004842414268821926,0.018366785788617612,0.034375227726791024,0.033080095521956565,0.17279500819003915,-0.8967836905052664,-1.9585193516617716,-1.8421608633574311,-2.0288042169396467
2024-07-14,0.08294708041303878,0.13205644352124146,-0.00652731020544195,0.026739522147926742,0.002486420334264494,0.020799399650128336,0.30448107583130807,0.26480414922421597,1.2818105404054014,1.3881040782576248,1.4777730020449034
