block,group,n,corr_main_notrim,mean_abs_diff,max_abs_diff,main_std,notrim_std
all,GPU_ALL,105,0.9823827890755701,0.002156988713197711,0.009290049160977698,0.009198242284940738,0.011024132218296158
all,CPU_ALL,105,0.9247683015992072,0.0031498915399710056,0.01907179176558213,0.0055554268048627784,0.008815095375207752
all,RAM_ALL,105,0.9953503206254595,0.0027787167792359367,0.011525394595013755,0.024504586836452347,0.027158543881441413
chip,high,105,0.9811313394611899,0.002471730892932357,0.012554484323255613,0.009907089472245952,0.012485474687841617
chip,mid,105,0.9793598008377041,0.002141080790187518,0.007921702131877848,0.00949562121614583,0.010982883236424183
chip,low,105,0.8690645796879491,0.004995971562506298,0.02273167301500688,0.009552024830368964,0.012571349066849695
vram,high,105,0.983807363706104,0.002431308247905066,0.012760143782662499,0.010917700974398087,0.013268385280948014
vram,mid,105,0.9670808285124939,0.002251257046178648,0.0089445410323397,0.008993269009176156,0.010299180041128495
vram,low,105,0.7761827701564381,0.004036876376761595,0.02910577970788062,0.0031627611529443695,0.007562213490803096
