date,group,fixed_basket_index,basket_n
2024-03-03,high,100.0,34
2024-03-10,high,99.98899324919283,34
2024-03-17,high,100.0,34
2024-03-24,high,100.0,34
2024-03-31,high,100.0,34
2024-04-07,high,99.91607952177353,34
2024-04-14,high,100.00366891693572,34
2024-04-21,high,100.00292073135114,34
2024-04-28,high,99.66065548484015,34
2024-05-05,high,100.0,34
2024-05-12,high,100.00058662724531,34
2024-05-19,high,99.95791571668505,34
2024-05-26,high,99.88532033183333,34
2024-06-02,high,99.97484171244076,34
2024-06-09,high,98.4816018323443,34
2024-06-16,high,98.4666199461291,34
2024-06-23,high,98.80935444686416,34
2024-06-30,high,99.61369680123443,34
2024-07-07,high,99.17861080485115,34
2024-07-14,high,99.790489659414,34
2024-07-21,high,99.91111282130214,34
2024-07-28,high,99.40263453919846,34
2024-08-04,high,99.48078721820299,34
2024-08-11,high,99.4010792733906,34
2024-08-18,high,99.59787315843138,34
2024-08-25,high,99.58839477718405,34
2024-09-01,high,98.98153074409059,34
2024-09-08,high,98.91278041389573,34
2024-09-15,high,100.0,34
2024-09-22,high,100.0,34
2024-09-29,high,100.0,34
2024-10-06,high,100.0,34
2024-10-13,high,100.42502334267041,34
2024-10-20,high,100.42315592903827,34
2024-10-27,high,100.42315592903827,34
2024-11-03,high,99.91692977542394,34
2024-11-10,high,100.03692009981157,34
2024-11-17,high,100.13685899068085,34
2024-11-24,high,101.7864352998445,34
2024-12-01,high,99.66889513465279,34
2024-12-08,high,101.57837399005308,34
2024-12-15,high,103.05120180520258,34
2024-12-22,high,102.87308898100184,34
2024-12-29,high,102.87308898100184,34
2025-01-05,high,103.6160486051557,34
2025-01-12,high,106.26315789473684,34
2025-01-19,high,108.00062122250263,34
2025-01-26,high,109.26470028288928,34
2025-02-02,high,108.54243367896495,34
2025-02-09,high,108.8520749665328,34
2025-02-16,high,118.81175376472999,34
2025-02-23,high,126.22960563463997,34
2025-03-02,high,134.13976143503572,34
2025-03-09,high,137.31587561374795,34
2025-03-16,high,126.22960563463997,34
2025-03-23,high,126.44263266379043,34
2025-03-30,high,128.59128822984246,34
2025-04-06,high,123.38690132001815,34
2025-04-13,high,126.3361191492152,34
2025-04-20,high,127.41044693224121,34
2025-04-27,high,134.10719078648464,34
2025-05-04,high,134.13976143503572,34
2025-05-11,high,134.13976143503572,34
2025-05-18,high,134.13976143503572,34
2025-05-25,high,134.13976143503572,34
2025-06-01,high,134.13976143503572,34
2025-06-08,high,134.1066251756249,34
2025-06-15,high,134.1066251756249,34
2025-06-22,high,129.34869043638378,34
2025-06-29,high,,34
2025-07-06,high,,34
2025-07-13,high,135.8117476319438,34
2025-07-20,high,135.8117476319438,34
2025-07-27,high,134.13976143503572,34
2025-08-03,high,134.13976143503572,34
2025-08-10,high,136.73889822128547,34
2025-08-17,high,132.46777523812762,34
2025-08-24,high,131.2791364878421,34
2025-08-31,high,134.13976143503572,34
2025-09-07,high,134.13976143503572,34
2025-09-14,high,123.52542736619027,34
2025-09-21,high,123.52542736619027,34
2025-09-28,high,126.0067313831802,34
2025-10-05,high,132.46777523812762,34
2025-10-12,high,133.55017239811454,34
2025-10-19,high,133.79853573690343,34
2025-10-26,high,128.56736164047004,34
2025-11-02,high,132.46777523812762,34
2025-11-09,high,134.13976143503572,34
2025-11-16,high,133.79853573690343,34
2025-11-23,high,133.79853573690343,34
2025-11-30,high,135.12929623567922,34
2025-12-07,high,135.12929623567922,34
2025-12-14,high,135.12929623567922,34
2025-12-21,high,135.12929623567922,34
2025-12-28,high,135.12929623567922,34
2026-01-04,high,135.4705219338115,34
2026-01-11,high,135.4705219338115,34
2026-01-18,high,134.13976143503572,34
2026-01-25,high,135.66487752579582,34
2026-02-01,high,135.66487752579582,34
2026-02-08,high,142.22601984564497,34
2026-02-15,high,142.22601984564497,34
2026-02-22,high,139.0188837387944,34
2026-03-01,high,142.98632109940974,34
2026-03-08,high,142.98632109940974,34
2026-03-15,high,142.98632109940974,34
