group,week_n,mean_ret,std_ret,p05,p50,p95
high,105,0.0009276909272738349,0.009907089472245952,-0.010030863656556779,-0.00028338234042215167,0.012225022841454661
low,105,0.002236945149673098,0.009552024830368964,-0.006105321426379068,0.0006507208244209374,0.011464194458656832
mid,105,0.0015102835595923402,0.009495621216145831,-0.00633431058502958,0.0002763570386996667,0.00799350305616433
