cat,h,n_ai,n_crypto,ai_car,crypto_car,ai_minus_crypto,perm_p
GPU,4,8,6,0.0004700291441101165,-0.0007661063853950916,0.001236135529505208,0.738
GPU,8,8,6,0.0012850485477661684,0.002372716273757096,-0.0010876677259909276,0.848
CPU,4,8,6,0.00024232819054478133,3.900109080226677e-05,0.00020332709974251457,0.966
CPU,8,8,6,0.0013203186358911713,0.0054095392499689835,-0.004089220614077812,0.624
RAM,4,8,6,-0.005896553052499488,-0.006716185484591732,0.0008196324320922438,0.9878
RAM,8,8,6,-0.016368783596497617,-0.03122260533501055,0.014853821738512935,0.629
