Date,btc_krw,etc_krw,usdkrw,nvda,nasdaq,sox
2024-03-03,18.237997171315513,10.680340809602328,7.1968363357777285,4.409504745233904,9.697381806835816,8.50300908655807
2024-03-10,18.304502322987304,10.790863925028697,7.191656376626781,4.476549774623695,9.68700794591258,8.516351982522208
2024-03-17,18.34465928360766,10.728540164782592,7.1813193487656175,4.486309701696099,9.68735237559008,8.488359402545994
2024-03-24,18.287712478526398,10.605470308577553,7.195520573846055,4.507739742113132,9.698522816767587,8.478935281001407
2024-03-31,18.363263366218757,10.698728101650518,7.204202536757765,4.521462525367181,9.70319077154975,8.494351824345928
2024-04-07,18.335228661263677,10.685955745905952,7.207525025514727,4.482723527752354,9.695360827201153,8.489827213392743
2024-04-14,18.352508274384007,10.652673223023251,7.21296151681271,4.472771444634285,9.697037767133619,8.482033610906342
2024-04-21,18.29133631914861,10.50698030830603,7.231798069296727,4.425114535641954,9.658985673108779,8.423034514941948
2024-04-28,18.303234294790233,10.539632787468786,7.225758294676583,4.410345183261244,9.660097213981938,8.421972954543707
2024-05-05,18.251925852075264,10.499005085828523,7.226463484439589,4.45771518402485,9.670762127225462,8.44522154701666
2024-05-12,18.25055038374345,10.51173148898239,7.2140994509532845,4.50301089911812,9.701024381678698,8.474840220318798
2024-05-19,18.29666393384985,10.515233394433716,7.214645535871156,4.528047859049186,9.717439681784018,8.507923513834632
2024-05-26,18.3653135142634,10.675257528834921,7.216761461883972,4.594066036929912,9.730149153055699,8.542362052111732
2024-06-02,18.354395701955116,10.634425137089991,7.220449577454351,4.719659011621986,9.732265999987403,8.557943632322381
2024-06-09,18.38101457611287,10.567768356125622,7.224103646804634,4.779544218532014,9.743038888100122,8.564124823209472
2024-06-16,18.344765468861844,10.475097605179688,7.226136776536468,4.8342374511874935,9.76990336596042,8.61047081639786
2024-06-23,18.3117537789629,10.392222050680617,7.231703463662129,4.874247571087707,9.785963301707021,8.639376697717818
2024-06-30,18.256184123338567,10.39022913504515,7.236441162133708,4.816483877068141,9.78254791859661,8.600953556980052
2024-07-07,18.21511714202905,10.300613024540292,7.2317416190596,4.829853704088466,9.804297889652839,8.62730813963751
2024-07-14,18.200846794029125,10.287009085256127,7.22925325779305,4.868577239578728,9.82184827066821,8.66243141953251
2024-07-21,18.32736269221531,10.395614756921711,7.230461868014112,4.8058823480963415,9.804363310473054,8.618791792887489
2024-07-28,18.344996266779393,10.36793503406415,7.233389940734225,4.762060751275746,9.774168159299913,8.559241306547673
2024-08-04,18.276219629378776,10.265466870311329,7.227481645624328,4.697035729523362,9.75355461402096,8.503304899786944
2024-08-11,18.192529508028162,10.1511385140072,7.221674287780429,4.630700688278298,9.706986504391995,8.431440744761582
2024-08-18,18.199351830975935,10.149474193212347,7.217404430514328,4.770254693111726,9.756990826312498,8.515183495759114
2024-08-25,18.22452509173115,10.175380078519238,7.197515316908264,4.849613192346988,9.788169201169108,8.558112334468692
2024-09-01,18.18887977997192,10.113226761019567,7.192393875787881,4.814900191956218,9.778664686883843,8.536891349645398
2024-09-08,18.135152551351887,10.076236231055093,7.1971836469678365,4.663372026860414,9.741483580522413,8.45511492395911
2024-09-15,18.175117131363738,10.113015647989135,7.200012383685691,4.734069583198948,9.75899200093372,8.47992324994116
2024-09-22,18.22401637462679,10.113097998562113,7.1886231697754255,4.752437610751546,9.78414910026685,8.506972720376819
2024-09-29,18.263727954156813,10.180867440608257,7.191164177348247,4.796915849615069,9.803006205548485,8.547647968656667
2024-10-06,18.22793372770247,10.12117254361868,7.186563541720387,4.79522233177004,9.799003713880271,8.541976521756418
2024-10-13,18.2395672585153,10.119813842558333,7.20374815353335,4.886550448089711,9.809400316601776,8.572193530887105
2024-10-20,18.34302256167967,10.191522563447423,7.215670830473694,4.91257258353197,9.820625228270917,8.561844139360876
