cat,n,mean,sd,min,max
CPU,105,-0.0003040037494723104,0.005555426804862745,-0.0313472620826506,0.0123013432484525
GPU,105,0.0013105604859712397,0.009198242284940707,-0.0090287069479208,0.0628049805376508
RAM,105,0.00809551473698861,0.024504586836452326,-0.0090453329065811,0.1500001914677821
