date,group,from_date,index_ffill,index_valid,log_return,ret_lvl,ret_w,n_matched,n_used,n_trim,n_adj,n_adj_used,n_adj_trim,step_n,interval_days,bridge,valid_step,ret_ok
2024-03-03,GPU_ALL,,100.0,100.0,,,,0,0,0,0,0,0,0,,False,True,False
2024-03-10,GPU_ALL,2024-03-03,100.48498397957921,100.48498397957921,0.004838117209268821,0.004838117209268821,0.004838117209268821,720,718,2,720,718,2,1,7.0,False,True,True
2024-03-17,GPU_ALL,2024-03-10,101.04335472340536,101.04335472340536,0.0055413762276440605,0.0055413762276440605,0.0055413762276440605,732,729,3,732,729,3,1,7.0,False,True,True
2024-03-24,GPU_ALL,2024-03-17,101.37893239520861,101.37893239520861,0.0033156228398267982,0.0033156228398267982,0.0033156228398267982,726,722,4,726,722,4,1,7.0,False,True,True
2024-03-31,GPU_ALL,2024-03-24,101.42505491099928,101.42505491099928,0.0004548482226457915,0.0004548482226457915,0.0004548482226457915,729,726,3,729,726,3,1,7.0,False,True,True
2024-04-07,GPU_ALL,2024-03-31,101.78186945920778,101.78186945920778,0.003511838152471016,0.003511838152471016,0.003511838152471016,742,737,5,742,737,5,1,7.0,False,True,True
2024-04-14,GPU_ALL,2024-04-07,101.9919138722757,101.9919138722757,0.002061545739830968,0.002061545739830968,0.002061545739830968,737,737,0,737,737,0,1,7.0,False,True,True
2024-04-21,GPU_ALL,2024-04-14,102.56036036544964,102.56036036544964,0.005557972490090272,0.005557972490090272,0.005557972490090272,733,731,2,733,731,2,1,7.0,False,True,True
2024-04-28,GPU_ALL,2024-04-21,102.45813828646575,102.45813828646575,-0.0009971986735526838,-0.0009971986735526838,-0.0009971986735526838,747,746,1,747,746,1,1,7.0,False,True,True
2024-05-05,GPU_ALL,2024-04-28,102.60617529381621,102.60617529381621,0.0014438107780159583,0.0014438107780159583,0.0014438107780159583,743,739,4,743,739,4,1,7.0,False,True,True
2024-05-12,GPU_ALL,2024-05-05,102.5216671095398,102.5216671095398,-0.0008239563002988007,-0.0008239563002988007,-0.0008239563002988007,744,743,1,744,743,1,1,7.0,False,True,True
2024-05-19,GPU_ALL,2024-05-12,102.47390525520953,102.47390525520953,-0.00046597938329646975,-0.00046597938329646975,-0.00046597938329646975,737,737,0,737,737,0,1,7.0,False,True,True
