date,high,low,mid
2024-03-03,100.0,100.0,100.0
2024-03-10,100.04384098359766,100.26381844436625,100.41975938166559
2024-03-17,100.32535680535602,100.07034545937718,100.89075358553521
2024-03-24,100.3868413576241,100.75176833388565,101.19654333955157
2024-03-31,100.3548698869751,101.11626077735586,101.44175800096606
2024-04-07,100.24598632827629,101.42234946992346,101.45728532525047
2024-04-14,100.32701292844763,101.2536117293282,101.49644191600753
2024-04-21,100.49299659756704,101.37121059229744,101.89264297335237
2024-04-28,100.4134034116467,101.39073529388658,101.75045380406114
2024-05-05,100.20847250140126,101.33618866038061,101.85496718469626
2024-05-12,100.31322286995498,101.52383184872657,101.79915543550756
2024-05-19,100.15822939373287,101.50943490921436,101.72367341763506
2024-05-26,100.04577544460808,101.44484967510691,101.49015003802148
2024-06-02,99.92230337481047,101.32377889329042,101.26426245604668
2024-06-09,99.63978270268338,101.10727983528048,101.16441358026545
2024-06-16,99.54087807617562,101.0985941292495,101.19710771004871
2024-06-23,99.70816873859532,101.48818365517525,101.28440444531935
2024-06-30,99.64384945635274,101.52895222473451,101.39538197284064
2024-07-07,99.39634699553537,101.284678045878,101.14273916624154
2024-07-14,99.49162783218233,101.46837923850805,101.13073849805572
2024-07-21,99.51408373321013,101.9919877596311,101.11436212923469
2024-07-28,99.78403934776858,102.11665901534326,101.3642141556137
2024-08-04,99.97233711692913,102.38736660804157,101.58895351561063
2024-08-11,100.02387020386821,102.30948373248053,101.62390346752929
2024-08-18,100.06049918557521,102.33816928713142,101.65199182958219
2024-08-25,100.21674670750593,102.67249644655381,101.7263681540224
2024-09-01,99.8455769768771,102.41898135362659,101.38077421312573
2024-09-08,99.81454804863722,102.62360380774084,101.2824555519841
2024-09-15,100.03087222832715,102.69040485587503,101.29570945548129
2024-09-22,100.31288853226968,103.30619253611694,101.43993507993078
2024-09-29,100.3162934639339,103.03200190809376,101.46393913032162
2024-10-06,100.24158229385014,102.94451537124763,101.29283376132801
2024-10-13,100.13468639236959,102.71711226602604,101.36407420437695
2024-10-20,100.06248963941765,103.02826403757354,101.35571767528333
2024-10-27,100.02145387189799,102.79224793045361,101.3228318382049
2024-11-03,100.00481877309568,102.38076197028255,101.17413229913426
2024-11-10,100.16193181491035,102.6985236212679,101.18895352096403
2024-11-17,100.23573535834404,102.71409960435946,101.11992624413993
2024-11-24,100.64868684199833,103.19495468254885,101.4668177311878
2024-12-01,100.80880465234975,103.31764024276502,101.60236230786641
2024-12-08,100.80644545265596,103.24955455555431,101.63911319626627
2024-12-15,101.57489779088236,104.4578159433984,102.22579422771477
2024-12-22,101.84695396651539,104.49546654778172,103.08648376173048
2024-12-29,102.13776117589858,104.70533316630369,103.5022878723638
2025-01-05,102.75900457286461,104.88676595408626,104.17000613854847
2025-01-12,104.76614658659867,105.50527978937394,105.33139961174851
2025-01-19,104.89403670607634,105.7448309881352,105.7860303766859
2025-01-26,105.31846442267236,106.68650101039715,106.31163209808324
2025-02-02,105.2188216225326,106.04978617342938,106.0866996602721
2025-02-09,106.5194537797452,106.0121436214798,106.57375909124089
2025-02-16,109.35798844894659,106.1467576649411,107.06053066412365
2025-02-23,110.41733215759812,107.65016420208514,107.4378627852091
2025-03-02,111.11864848763283,107.88319936270517,107.938898702151
2025-03-09,111.12753694942869,107.65374477274005,108.35296355692269
2025-03-16,108.75865392256668,107.83679030580777,108.43248046600253
2025-03-23,106.62184421086222,108.12388774281693,108.41767670506026
2025-03-30,105.08961578509638,109.04782775496166,108.46839661212749
2025-04-06,103.95529115268643,109.16514566675126,108.23660136443046
2025-04-13,103.2122956220477,108.42563963928974,108.42568787458676
2025-04-20,102.02686810336857,109.60116158648829,108.29185846477634
2025-04-27,101.63385815019197,109.67870595130559,108.15924063001023
2025-05-04,100.8842183265221,108.86941243753688,107.77004664083482
2025-05-11,100.17042715256838,109.47381840067463,107.21714316174487
2025-05-18,99.14839033310992,109.30644952428382,106.89442613669866
2025-05-25,98.77679789951938,109.57812026183065,106.67832176544292
2025-06-01,98.00881712440776,109.61213610699122,105.82510992612855
2025-06-08,97.60521191305968,109.6491226691136,105.15134943119668
2025-06-15,97.24403723570398,109.17929598576599,104.7495441992328
2025-06-22,96.6597607749131,109.14057182764107,104.11010211819382
2025-06-29,,,
2025-07-06,,,
2025-07-13,96.13654491385832,109.67015107865248,103.48630170785145
2025-07-20,96.05749180076641,108.99936707754593,103.39732109668464
2025-07-27,95.27892636567108,109.08655753204619,102.82755043786945
2025-08-03,95.09120289592282,108.994458975959,102.57263901895212
2025-08-10,94.7086735682731,108.25884448428268,102.12530667765196
2025-08-17,94.71978764664776,108.54552582275065,102.24023098110568
2025-08-24,94.56420846087961,108.60331843230642,101.98173529734873
2025-08-31,94.2978557708873,108.2854507527987,101.51687180237381
2025-09-07,94.13216010589424,108.21292259179407,101.32350722619232
2025-09-14,94.02974002342752,108.31375000647138,101.18715734714664
2025-09-21,94.02445726020062,108.33154657800763,101.086602238556
2025-09-28,93.96810047388298,108.27452978530161,100.95376015422593
2025-10-05,93.84543613351153,107.84984838956106,100.62585937307828
2025-10-12,93.74918679136933,107.79258795152509,100.45720755106184
2025-10-19,94.22008517759474,108.44757664342066,100.97307521257164
2025-10-26,94.32460484815424,108.18087177547524,100.79209252790159
2025-11-02,94.56387254518425,107.4465510476125,100.43729400074989
2025-11-09,95.30865551197525,108.26664604969568,100.93258185072499
2025-11-16,95.7910418529778,110.24876059046986,101.2575964748236
2025-11-23,95.24598325735447,110.50613562441795,101.37509520250235
2025-11-30,95.14577810225089,110.54583622321643,101.47655583514876
2025-12-07,95.11881928897719,110.4546930119055,101.5647294629257
2025-12-14,95.04630511200388,110.48821388282681,101.66267994707108
2025-12-21,95.09602397453435,110.7699868863664,102.04244150484213
2025-12-28,95.41846047223166,110.86030664213519,102.40631464676984
2026-01-04,95.69431959446092,111.22383774412096,102.75369535687634
2026-01-11,96.47933317826607,111.6997480492345,103.30259378072064
2026-01-18,100.30359938954857,113.02493228166799,105.65246615791574
2026-01-25,105.50615546079145,116.53200522465637,111.06569302907921
2026-02-01,110.59831337211114,126.52836559245458,119.24235610601234
2026-02-08,111.9316267419809,127.87930591842598,120.7845705842164
2026-02-15,112.31491213853484,128.55854593673203,120.86293263967964
2026-02-22,111.934465607351,128.02406068706082,120.36870874066592
2026-03-01,111.98294228071363,129.3007791383881,120.70469134964274
2026-03-08,110.98184460339887,128.93305961839621,119.56174890272169
2026-03-15,109.97288708904753,128.3183854276149,118.76911375478204
2026-03-22,109.70127203140474,128.3213225503091,117.9738510663609
2026-03-29,109.63427630170274,127.08929630664757,116.48240128790695
2026-04-05,,,
