date,high,low,mid
2024-03-03,100.0,100.0,100.0
2024-03-10,100.26619184823709,99.72710730432883,100.90828448188445
2024-03-17,100.91196027548473,98.88916306530051,101.65423379516031
2024-03-24,100.90316925516082,100.23195088835207,102.20432893256294
2024-03-31,100.87139518302963,100.74643585564608,102.25038676636697
2024-04-07,101.1267804269318,102.33276826683729,102.47986115052242
2024-04-14,101.2919771800941,101.91749053368632,102.87515305821137
2024-04-21,101.66980721641097,102.1105772843386,103.77237731378885
2024-04-28,101.4926709439946,102.61074505254261,103.64146726862627
2024-05-05,101.31747807697825,103.08972077494869,104.14558903266203
2024-05-12,101.28470067223311,103.4434066958315,103.89815537886831
2024-05-19,101.23998090681373,103.79066389480437,103.76883222967885
2024-05-26,101.18868668935906,103.79431772917586,103.5604400474519
2024-06-02,101.1634209839556,103.79184580005324,103.49487028568329
2024-06-09,100.68987354691686,103.95015234141596,103.49566246310096
2024-06-16,100.58684236193419,104.12951543193614,103.75319940967655
2024-06-23,101.22688914023915,104.57956613801768,104.0412552516227
2024-06-30,101.29532400708243,104.43537122816475,104.40864878417983
2024-07-07,100.87142245845882,103.65755894573871,104.10260449271085
2024-07-14,101.00930275426373,104.37908307687302,103.99341364308414
2024-07-21,101.0778804674212,105.97794696107847,103.88593701173444
2024-07-28,101.6454459374959,107.11782660925982,104.26585868955453
2024-08-04,102.17563967259089,108.44790321618997,105.05278499556897
2024-08-11,102.5035875089804,108.07364725192349,105.27453530031127
2024-08-18,102.69428185238586,108.96596639952814,105.4493054074557
2024-08-25,103.00795615279497,110.08364722393321,105.69047811519856
2024-09-01,102.83070459389052,109.78842284147576,105.36175369157324
2024-09-08,102.93050654099244,111.22287094816335,105.18018700894118
2024-09-15,103.61909749943945,112.2099912220996,105.25745918541247
2024-09-22,104.13998308606403,113.06348818335775,105.56685530509422
2024-09-29,104.28596769134785,112.49644484179616,105.58661101879194
2024-10-06,104.07399551573754,112.3373662768089,105.71452535131962
2024-10-13,103.9478614420142,112.47662388972975,105.84637141996085
2024-10-20,103.7969111000763,114.27270088074343,106.18220493431463
2024-10-27,103.72682390529467,115.02305183260509,106.28102403881346
2024-11-03,103.70202451899644,114.76674043459363,106.09190176073066
2024-11-10,103.96221331160469,115.29551592553365,106.1274244301387
2024-11-17,104.04286812982495,115.26803185020545,106.08590668581793
2024-11-24,104.77878152774262,115.14803211787186,106.63578255601672
2024-12-01,105.00663830552878,117.14843798516468,106.99810391568244
2024-12-08,105.51573601032312,118.0120880646165,106.93656654537286
2024-12-15,106.73717044231921,120.2972212467817,108.00011816606691
2024-12-22,107.12477951494482,120.36913928251005,109.53563831787643
2024-12-29,107.61757439171218,121.42523902695685,110.56387370913546
2025-01-05,108.89112296259545,122.12897373090553,111.27456454947023
2025-01-12,112.03570636509772,123.32596500961073,113.41001821655836
2025-01-19,112.39511296002588,123.95578371985222,114.47512937413376
2025-01-26,113.22255928595064,124.70624555609321,115.48089465896295
2025-02-02,113.05780660174916,123.37510697154067,115.08389797320825
2025-02-09,115.28933407636049,124.74397916495731,116.27585516722854
2025-02-16,119.7561106765108,123.2654433690604,117.40659460311144
2025-02-23,122.44378971755644,126.95849975902087,117.99106572544538
2025-03-02,124.26297099440711,128.51101648054927,119.172570175083
2025-03-09,124.94965474126592,127.20900011956033,120.10770078153496
2025-03-16,122.30334161108905,127.28486748965733,120.30210646961378
2025-03-23,119.50372219605008,127.71044133840212,120.11025136866385
2025-03-30,117.30923014988318,130.86849831540638,120.71638673307459
2025-04-06,115.93969795507051,132.6560239755594,120.74978432963658
2025-04-13,115.12514516116029,129.97700625833377,120.81513980228904
2025-04-20,113.62296671620088,130.72533077606946,120.33747809075756
2025-04-27,113.04254835711376,131.68824123832417,120.2285494732136
2025-05-04,112.12112444852717,130.65396700691454,119.95000019636028
2025-05-11,111.31492201826985,132.52606146432507,119.54426192900999
2025-05-18,109.94349009929681,132.57882372870094,119.23670168615804
2025-05-25,109.4600741296572,132.85625204584994,118.95457286345615
2025-06-01,108.47316210500861,133.9660534851387,117.5948505942124
2025-06-08,108.06117680750673,134.29005707171174,117.01885153072367
2025-06-15,107.4463735188292,133.53840788347154,116.47972168495998
2025-06-22,106.74059903425406,133.44871033970122,115.53757710900304
2025-06-29,,,
2025-07-06,,,
2025-07-13,106.17714362228699,134.09623918151217,114.83681728289524
2025-07-20,106.12252668263324,133.15775354136179,114.77532441979676
2025-07-27,105.02249797445539,133.19844507899245,113.97847727773882
2025-08-03,104.72800946249686,131.9029127151006,113.59040109464604
2025-08-10,104.28566388066874,130.84617433609236,113.09328597668659
2025-08-17,104.1437483546726,131.16441651003805,113.41683894848171
2025-08-24,104.18899075892917,130.79114680190722,112.94200831760057
2025-08-31,103.8663627280661,130.74288979286436,112.23177459367798
2025-09-07,103.50898837809058,130.79995165573925,111.89737506313476
2025-09-14,103.52312635827307,130.97386289056547,111.79606978714564
2025-09-21,103.71063477323862,131.0152338276015,111.62652407779568
2025-09-28,103.83776092983325,130.9567675614644,111.53033109613561
2025-10-05,104.20897027034157,131.44935854144595,111.14323894893246
2025-10-12,104.00070550350429,131.3062426195523,110.80708608950991
2025-10-19,104.65455444782658,132.2784534898407,111.55932053121484
2025-10-26,104.65108375882157,132.0286623419727,111.28057688801238
2025-11-02,105.27139897679515,131.42204825337706,110.72936064153009
2025-11-09,106.45080410936626,133.24477072135772,111.43531287158987
2025-11-16,107.64719800913963,137.1888279630126,111.89263606507544
2025-11-23,106.3538263316287,136.47751175966957,112.11157345361998
2025-11-30,105.81896396328752,136.435478962478,112.35072050688316
2025-12-07,105.92572589839656,136.3893094020162,112.47706195251193
2025-12-14,105.77269254384976,136.5432397036682,112.41465183278203
2025-12-21,105.92792041698041,137.34714628176138,113.02190881285154
2025-12-28,106.64091294137518,137.77329203237827,113.96925628388381
2026-01-04,107.0024657328037,138.65308692956998,114.5893665418602
2026-01-11,108.36827894933538,138.27229348724927,115.48456105452513
2026-01-18,113.77410701952805,140.56207864259963,118.83571218524175
2026-01-25,120.983809302531,147.78434553054007,125.86415324363973
2026-02-01,127.40485535337427,160.28689140011198,135.60012631805208
2026-02-08,128.98865428650177,163.78926272305986,138.08840304059166
2026-02-15,129.48838488372866,168.44508734434032,139.07803059356718
2026-02-22,128.4362347683442,167.27224925740873,138.322305173014
2026-03-01,129.03350092673352,170.23929519122382,139.3976803870567
2026-03-08,127.28320484629256,168.9901294939599,137.15099411501726
2026-03-15,125.45626472641314,168.6307180016081,136.19690878111382
2026-03-22,125.36825365582813,169.12545319211364,135.06437421877396
2026-03-29,125.25746991823172,167.26579694249418,133.32768960603732
2026-04-05,,,
