group,valid_ret_n,bridge_n,gap_n,median_valid_n_used,min_valid_n_used,max_abs_ret,final_index,block
CPU_ALL,105,1,3,187.0,139,0.031347262082650644,94.4641284293342,all
GPU_ALL,105,1,3,643.0,383,0.06280498053765088,114.12387411908088,all
RAM_ALL,105,1,3,1043.0,631,0.15000019146778212,240.5778263122828,all
high,105,1,3,243.0,160,0.05056771625323213,109.63427630170274,chip
low,105,1,3,37.0,18,0.08230055872861436,127.08929630664757,chip
mid,105,1,3,284.0,197,0.07103617263266684,116.48240128790695,chip
high,105,1,3,360.0,155,0.0604644247552799,110.95475953979103,vram
low,105,1,3,46.0,19,0.013439026209452563,110.10694326294187,vram
mid,105,1,3,217.0,172,0.07142623026378903,118.04613655550548,vram
