Date,btc_krw_ret,fx_ret
2024-03-03,,
2024-03-10,0.08790585452474886,-0.01055573947546673
2024-03-17,-0.03747906137565593,0.0005599411496861606
2024-03-24,-0.008592255192098719,0.00960634451770126
2024-03-31,0.08472635710945298,0.011264866513997163
2024-04-07,-0.007151787538187904,0.001155012422158208
2024-04-14,-0.054820006608579774,0.012121346384044607
2024-04-21,0.013524029420914019,0.008415811406386808
2024-04-28,-0.021831365654588097,-0.0055978288086713235
2024-05-05,-0.00875810508459196,-0.005160142582478322
2024-05-12,-0.03867748410677052,0.0005567755596134205
2024-05-19,0.0840207369043604,-0.014280466399256397
2024-05-26,0.043211504527732814,0.015905021781582818
2024-06-02,-0.010770433938830593,0.0058325357660633514
2024-06-09,0.020963189209325606,-0.007566972980826314
2024-06-16,-0.043551268668188925,0.006199378205427486
2024-06-23,-0.02533958738530373,0.01307526436010864
2024-06-30,-0.05957632203825014,-0.0035051481648231686
2024-07-07,-0.0471775631203748,-0.004842414268821926
2024-07-14,0.014997941284679683,-0.00652731020544195
2024-07-21,0.13643637998949742,0.010136070799365626
2024-07-28,0.005985364842302943,-0.0027541693597434858
2024-08-04,-0.13061188916627486,-0.009060622556364528
2024-08-11,0.009311991631566485,0.0034929023029093287
2024-08-18,-0.0354733430600227,-0.007489248657267744
2024-08-25,0.05743398833846314,-0.017735963898911855
2024-09-01,-0.07507696350229764,-0.004984282304531185
2024-09-08,-0.08440891623881797,-6.74995921201571e-05
2024-09-15,0.09550054856891776,0.0021734496841210316
2024-09-22,0.057491257249292715,-0.00606764620313438
2024-09-29,0.021759367751084113,-0.010837231402202718
2024-10-06,-0.03193459258920228,0.01594618142444837
2024-10-13,0.02070761443876279,0.0114227018610773
2024-10-20,0.09267179882458976,0.014935297089867738
2024-10-27,-0.00628477790531079,0.004565960424109505
2024-11-03,0.027340302918716475,-0.0024660502290210218
2024-11-10,0.11534932579213475,-0.0006193767457327581
2024-11-17,0.16348106306177357,0.020737082109347327
2024-11-24,0.08283618643044122,-0.0008784226549956031
2024-12-01,-0.019980309891739267,-0.004511394885440723
2024-12-08,0.056327477675534254,0.0047900175807082945
2024-12-15,0.021554157856705558,0.01971172287346956
2024-12-22,-0.034239809328166615,0.006693866870636889
2024-12-29,-0.002500661500192791,0.020341999340944383
2025-01-05,0.026932324463626145,0.003171561036842796
2025-01-12,-0.03312263328892939,-0.011220286574176619
2025-01-19,0.08791745940920492,-0.0013133929293651647
2025-01-26,-0.01670614589425412,-0.013431593443181455
2025-02-02,-0.01989252765341476,0.0053762871979134985
2025-02-09,-0.04413908526837318,0.0003398214370120556
2025-02-16,0.001773846483217767,-0.0023673488088276073
2025-02-23,-0.01359114317991228,-0.004905208485185497
2025-03-02,-0.09828815382546807,0.012604474664434484
