date,group,from_date,index_ffill,index_valid,log_return,ret_lvl,ret_w,n_matched,n_used,n_trim,n_adj,n_adj_used,n_adj_trim,step_n,interval_days,bridge,valid_step,ret_ok
2024-03-03,high,,100.0,100.0,,,,0,0,0,0,0,0,0,,False,True,False
2024-03-10,high,2024-03-03,100.1662022105867,100.1662022105867,0.001660642475566038,0.001660642475566038,0.001660642475566038,427,382,45,427,382,45,1,7.0,False,True,True
2024-03-17,high,2024-03-10,100.4661844562807,100.4661844562807,0.002990369343874151,0.002990369343874151,0.002990369343874151,431,385,46,431,385,46,1,7.0,False,True,True
2024-03-24,high,2024-03-17,100.57663623416296,100.57663623416296,0.0010987886920373448,0.0010987886920373448,0.0010987886920373448,423,379,44,423,379,44,1,7.0,False,True,True
2024-03-31,high,2024-03-24,100.64989968831493,100.64989968831493,0.0007281689470359438,0.0007281689470359438,0.0007281689470359438,427,382,45,427,382,45,1,7.0,False,True,True
2024-04-07,high,2024-03-31,100.6548514027321,100.6548514027321,4.9196200202326296e-05,4.9196200202326296e-05,4.9196200202326296e-05,438,390,48,438,390,48,1,7.0,False,True,True
2024-04-14,high,2024-04-07,100.70090383507313,100.70090383507313,0.000457423559506683,0.000457423559506683,0.000457423559506683,432,388,44,432,388,44,1,7.0,False,True,True
2024-04-21,high,2024-04-14,100.93976544107899,100.93976544107899,0.002369181957104899,0.002369181957104899,0.002369181957104899,430,385,45,430,385,45,1,7.0,False,True,True
2024-04-28,high,2024-04-21,100.83609837049248,100.83609837049248,-0.0010275468804807652,-0.0010275468804807652,-0.0010275468804807652,433,389,44,433,389,44,1,7.0,False,True,True
2024-05-05,high,2024-04-28,100.6528468146329,100.6528468146329,-0.001818974298741329,-0.001818974298741329,-0.001818974298741329,435,388,47,435,388,47,1,7.0,False,True,True
2024-05-12,high,2024-05-05,100.7587743631009,100.7587743631009,0.0010518515030568574,0.0010518515030568574,0.0010518515030568574,437,393,44,437,393,44,1,7.0,False,True,True
2024-05-19,high,2024-05-12,100.58664297225961,100.58664297225961,-0.0017098122724043207,-0.0017098122724043207,-0.0017098122724043207,434,390,44,434,390,44,1,7.0,False,True,True
2024-05-26,high,2024-05-19,100.46704868067208,100.46704868067208,-0.0011896753022511324,-0.0011896753022511324,-0.0011896753022511324,437,392,45,437,392,45,1,7.0,False,True,True
2024-06-02,high,2024-05-26,100.29094163105299,100.29094163105299,-0.0017544217743665587,-0.0017544217743665587,-0.0017544217743665587,437,392,45,437,392,45,1,7.0,False,True,True
2024-06-09,high,2024-06-02,100.08153167315402,100.08153167315402,-0.0020902076087382254,-0.0020902076087382254,-0.0020902076087382254,438,393,45,438,393,45,1,7.0,False,True,True
2024-06-16,high,2024-06-09,99.97601842701975,99.97601842701975,-0.0010548290315944523,-0.0010548290315944523,-0.0010548290315944523,438,393,45,438,393,45,1,7.0,False,True,True
2024-06-23,high,2024-06-16,100.12214046550903,100.12214046550903,0.0014605038374373932,0.0014605038374373932,0.0014605038374373932,439,394,45,439,394,45,1,7.0,False,True,True
2024-06-30,high,2024-06-23,100.1101417734864,100.1101417734864,-0.0001198477278770644,-0.0001198477278770644,-0.0001198477278770644,435,391,44,435,391,44,1,7.0,False,True,True
2024-07-07,high,2024-06-30,99.85906754206096,99.85906754206096,-0.002511130230695139,-0.002511130230695139,-0.002511130230695139,434,390,44,434,390,44,1,7.0,False,True,True
2024-07-14,high,2024-07-07,99.92159098870533,99.92159098870533,0.0006259209389483169,0.0006259209389483169,0.0006259209389483169,432,388,44,432,388,44,1,7.0,False,True,True
2024-07-21,high,2024-07-14,99.95577292599096,99.95577292599096,0.0003420291017389718,0.0003420291017389718,0.0003420291017389718,432,387,45,432,387,45,1,7.0,False,True,True
2024-07-28,high,2024-07-21,100.2405953037981,100.2405953037981,0.0028454319376245954,0.0028454319376245954,0.0028454319376245954,436,390,46,436,390,46,1,7.0,False,True,True
2024-08-04,high,2024-07-28,100.5065544343456,100.5065544343456,0.002649694269632146,0.002649694269632146,0.002649694269632146,418,374,44,418,374,44,1,7.0,False,True,True
2024-08-11,high,2024-08-04,100.54129932693012,100.54129932693012,0.00034563803870960047,0.00034563803870960047,0.00034563803870960047,417,374,43,417,374,43,1,7.0,False,True,True
2024-08-18,high,2024-08-11,100.56382865046476,100.56382865046476,0.00022405518800509315,0.00022405518800509315,0.00022405518800509315,409,366,43,409,366,43,1,7.0,False,True,True
2024-08-25,high,2024-08-18,100.70845961881055,100.70845961881055,0.0014371674757956841,0.0014371674757956841,0.0014371674757956841,407,364,43,407,364,43,1,7.0,False,True,True
2024-09-01,high,2024-08-25,100.34263364560796,100.34263364560796,-0.0036391384000168327,-0.0036391384000168327,-0.0036391384000168327,410,370,40,410,370,40,1,7.0,False,True,True
2024-09-08,high,2024-09-01,100.29307448013502,100.29307448013502,-0.0004940213977246867,-0.0004940213977246867,-0.0004940213977246867,407,365,42,407,365,42,1,7.0,False,True,True
2024-09-15,high,2024-09-08,100.46395966741986,100.46395966741986,0.0017024083791831244,0.0017024083791831244,0.0017024083791831244,403,361,42,403,361,42,1,7.0,False,True,True
2024-09-22,high,2024-09-15,100.71829233502562,100.71829233502562,0.00252838210691047,0.00252838210691047,0.00252838210691047,400,360,40,400,360,40,1,7.0,False,True,True
2024-09-29,high,2024-09-22,100.72980503897485,100.72980503897485,0.0001142994559078403,0.0001142994559078403,0.0001142994559078403,395,355,40,395,355,40,1,7.0,False,True,True
2024-10-06,high,2024-09-29,100.65619067726934,100.65619067726934,-0.0007310772998135881,-0.0007310772998135881,-0.0007310772998135881,406,363,43,406,363,43,1,7.0,False,True,True
2024-10-13,high,2024-10-06,100.59311177513085,100.59311177513085,-0.0006268732704709323,-0.0006268732704709323,-0.0006268732704709323,399,359,40,399,359,40,1,7.0,False,True,True
2024-10-20,high,2024-10-13,100.5316379908332,100.5316379908332,-0.0006113000640996712,-0.0006113000640996712,-0.0006113000640996712,395,355,40,395,355,40,1,7.0,False,True,True
2024-10-27,high,2024-10-20,100.50778893782373,100.50778893782373,-0.00023725747218535217,-0.00023725747218535217,-0.00023725747218535217,397,357,40,397,357,40,1,7.0,False,True,True
2024-11-03,high,2024-10-27,100.48902210355892,100.48902210355892,-0.00018673763252374676,-0.00018673763252374676,-0.00018673763252374676,401,361,40,401,361,40,1,7.0,False,True,True
2024-11-10,high,2024-11-03,100.63669888037487,100.63669888037487,0.0014685024136368273,0.0014685024136368273,0.0014685024136368273,400,360,40,400,360,40,1,7.0,False,True,True
2024-11-17,high,2024-11-10,100.65505006330349,100.65505006330349,0.00018233417987345568,0.00018233417987345568,0.00018233417987345568,400,360,40,400,360,40,1,7.0,False,True,True
2024-11-24,high,2024-11-17,101.05862071421821,101.05862071421821,0.004001426257694519,0.004001426257694519,0.004001426257694519,402,360,42,402,360,42,1,7.0,False,True,True
2024-12-01,high,2024-11-24,101.26587135134328,101.26587135134328,0.0020486962057616265,0.0020486962057616265,0.0020486962057616265,408,366,42,408,366,42,1,7.0,False,True,True
2024-12-08,high,2024-12-01,101.266361351467,101.266361351467,4.838737194318305e-06,4.838737194318305e-06,4.838737194318305e-06,404,370,34,404,370,34,1,7.0,False,True,True
