group,weekly_agg,date,index_valid
high,last,2026-03-29,111.08322590655824
high,median,2026-03-29,109.63427630170274
low,last,2026-03-29,124.92858641913706
low,median,2026-03-29,127.08929630664757
mid,last,2026-03-29,117.11801100199762
mid,median,2026-03-29,116.48240128790695
