row_id,date,gpu_log_return,Id,Name,vram_gb,gpu_chip_clean,chip_perf_group,h2_perf_group
1,2025-10-12,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-10-19,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-10-26,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-11-02,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-11-09,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-11-16,-0.008974330996913693,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
1,2025-11-23,0.0,6565469,갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,11.0,RTX 2080 TI,high,mid
3,2025-01-05,0.05796454044547339,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-01-12,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-01-19,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-01-26,0.04886264106745131,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-02-02,-0.04886264106745131,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-02-09,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-02-16,0.04886264106745131,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-02-23,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-03-02,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-03-09,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-03-16,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-03-23,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-03-30,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-04-06,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-04-13,-0.04886264106745131,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-04-20,0.04886264106745131,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-04-27,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-05-04,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-05-11,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-05-18,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-05-25,-0.07914925756882596,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-06-01,-0.014379642574334994,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-06-08,0.09352890014316095,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-06-15,-0.0015957064385414554,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-06-22,-0.005094254521743835,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2025-12-28,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-01-04,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-01-11,-0.005912969587539507,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-01-18,-0.004438934422649865,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-01-25,0.5873844325069317,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-02-01,0.6081681621475372,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-02-08,0.0,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
3,2026-03-01,0.0011843485190699,6632590,라데온 RX 570 D5 4GB (중고),4.0,RX 570,low,low
4,2024-05-26,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2024-12-01,-0.06370077690518627,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2024-12-08,-0.00015226494129016999,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2024-12-29,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-01-05,0.0004567252876839234,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-01-12,0.06339631655879252,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-01-19,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-01-26,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-02-02,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-02-09,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-02-16,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-02-23,0.1334063848113729,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-03-02,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-03-09,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-03-16,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-03-23,0.00012500781314983556,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-03-30,0.04879016416943216,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-04-06,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-04-13,-0.04879016416943216,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-04-20,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-04-27,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-05-04,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-05-11,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2025-09-21,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2026-02-08,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2026-02-15,0.3254224004346291,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2026-02-22,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
4,2026-03-01,0.0,6632827,라데온 RX 580 D5 4GB (중고),4.0,RX 580,low,low
5,2024-11-17,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2024-12-08,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-01-05,0.09798040836020228,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-01-12,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-01-19,0.06453852113757286,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-01-26,0.08338160893904956,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-02-02,-0.08338160893904956,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-02-09,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-02-16,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-02-23,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-03-02,0.03208831455149941,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
