Date,ai,crypto,ai_raw,crypto_raw,overlap,ai_event,crypto_event
2024-03-03,0.5600223832349422,3.1747444071829323,False,True,False,False,True
2024-03-10,0.8573244832757597,1.1925323047720495,False,False,False,False,False
2024-03-17,-0.06065100854229249,-0.038664761744117766,False,False,False,False,False
2024-03-24,0.9987469158602699,-0.16306313159192987,False,False,False,False,False
2024-03-31,-0.786198160878342,0.908870679269044,False,False,False,False,False
2024-04-07,-0.5301902956068033,-0.43583908197247595,False,False,False,False,False
2024-04-14,-0.08429961402373583,-0.5740810260828813,False,False,False,False,False
2024-04-21,-2.413724010412952,-0.3222439782572466,False,False,False,False,False
2024-04-28,2.100929235159631,-0.47505825444200905,True,False,False,True,False
2024-05-05,0.07174136269028235,-0.08246533621212859,False,False,False,False,False
2024-05-12,0.07565228671537876,-0.5410442631847693,False,False,False,False,False
2024-05-19,0.33261780361314897,0.9665687245852314,False,False,False,False,False
2024-05-26,2.099557674190771,0.6264198620446069,True,False,False,True,False
2024-06-02,0.3445083542488994,-0.04455539080065412,False,False,False,False,False
2024-06-09,1.420954517441114,0.35404848634805824,True,False,False,True,False
2024-06-16,1.2539885059805844,-0.7295997646981779,True,False,False,True,False
2024-06-23,-0.7624485511024933,-0.8433967404973639,False,False,False,False,False
2024-06-30,-0.49717403979687047,-0.27840496248242247,False,False,False,False,False
2024-07-07,0.17279500819003915,-1.9585193516617716,False,False,False,False,False
2024-07-14,0.30448107583130807,1.2818105404054014,False,False,False,False,False
2024-07-21,-1.5564442577410722,1.9600741076695198,False,True,False,False,True
2024-07-28,-0.7793656707400015,-0.09784970942821791,False,False,False,False,False
2024-08-04,-0.9428922137080615,-2.952485677306245,False,False,False,False,False
2024-08-11,-0.48996686966961944,0.1898917324293655,False,False,False,False,False
2024-08-18,2.610702126155018,-0.2963688431696944,True,False,False,True,False
2024-08-25,0.47731400872900226,1.1785160604176432,False,False,False,False,False
2024-09-01,-1.3813682501374,-1.7608531655260347,False,False,False,False,False
2024-09-08,-2.461915526669087,-0.7597658341185578,False,False,False,False,False
2024-09-15,2.195490398822126,1.0776005117711887,True,False,False,True,False
2024-09-22,-0.5308749590437017,1.1416368111913053,False,False,False,False,False
2024-09-29,0.599556750442842,0.16912634786398398,False,False,False,False,False
2024-10-06,0.33347021494312173,-0.31852493723084013,False,False,False,False,False
2024-10-13,1.0811142679846926,-0.01839080644173114,False,False,False,False,False
2024-10-20,0.2529241392052703,1.6927481738634194,False,True,False,False,True
2024-10-27,0.2822905576047526,-0.08040290288171634,False,False,False,False,False
2024-11-03,-0.8135955250699896,0.02978663026543172,False,False,False,False,False
2024-11-10,1.244008079640735,2.6973570074442956,True,True,True,False,False
2024-11-17,-0.7298273975198099,1.6898479190968643,False,True,False,False,True
2024-11-24,-0.11939850346649497,1.4651259691609264,False,True,False,False,True
2024-12-01,-0.5314718986733641,-0.29614176836487255,False,False,False,False,False
2024-12-08,0.35459981220480097,0.927328045467305,False,False,False,False,False
2024-12-15,-1.04744333333005,0.5391239952778598,False,False,False,False,False
2024-12-22,-0.06344677559425307,-1.4222033825519564,False,False,False,False,False
2024-12-29,0.15135930091993147,-0.02032152787171661,False,False,False,False,False
2025-01-05,0.7177882598566705,0.6729820082631467,False,False,False,False,False
2025-01-12,-1.0767239794652157,-0.6136226704115616,False,False,False,False,False
2025-01-19,0.090857336667869,0.8577258873336245,False,False,False,False,False
2025-01-26,0.4349313444843795,-0.12520720426467596,False,False,False,False,False
2025-02-02,-2.8229986682722683,-0.5432152550146084,False,False,False,False,False
2025-02-09,1.1142882681201232,-0.26835637706824256,False,False,False,False,False
2025-02-16,0.939134044102954,-0.2781789965184198,False,False,False,False,False
2025-02-23,-0.624887338571267,-0.08956110515777213,False,False,False,False,False
2025-03-02,-1.270037611728159,-0.11908381494430366,False,False,False,False,False
2025-03-09,-1.736573109378433,-2.7241439641562737,False,False,False,False,False
2025-03-16,1.0912597619006887,0.3635311416305264,False,False,False,False,False
2025-03-23,-0.6378285220435086,0.7581178723896198,False,False,False,False,False
2025-03-30,-1.227463187947933,-0.7033080688552233,False,False,False,False,False
2025-04-06,-2.489247915095307,-1.0027841010928618,False,False,False,False,False
2025-04-13,2.436761476011102,0.605505839501002,True,False,False,True,False
2025-04-20,-1.514907581156831,0.1972706818700947,False,False,False,False,False
2025-04-27,1.2940938124537325,1.7173779218139547,True,True,True,False,False
2025-05-04,0.3707740669942468,-0.39611159814491925,False,False,False,False,False
2025-05-11,0.17651250135519636,1.4904972356820247,False,True,False,False,True
2025-05-18,2.2282597367869594,0.3403180824864476,True,False,False,True,False
2025-05-25,-0.6008883287093933,-0.05742383424408143,False,False,False,False,False
2025-06-01,0.337340852306933,-0.36103506089078846,False,False,False,False,False
2025-06-08,0.6328229432338244,-0.30176482331953847,False,False,False,False,False
2025-06-15,-0.08726473880810469,-0.026386599385621885,False,False,False,False,False
2025-06-22,0.09083065876973262,-0.7125477588089381,False,False,False,False,False
2025-06-29,1.3346749272564598,1.0150794592962045,True,False,False,True,False
2025-07-06,0.04165685767100552,0.054753694575697696,False,False,False,False,False
2025-07-13,0.42528268598645896,1.5275813569947385,False,True,False,False,True
2025-07-20,0.5824778947420738,-0.15855400367706324,False,False,False,False,False
2025-07-27,-0.01695484745505126,0.1466307434467275,False,False,False,False,False
2025-08-03,-0.0961471983013676,-0.692938029536148,False,False,False,False,False
2025-08-10,0.6766218191032563,0.6215825985691464,False,False,False,False,False
2025-08-17,-0.3109731006145547,-0.3058172539767465,False,False,False,False,False
2025-08-24,-0.3319637210126395,-0.6731391352303248,False,False,False,False,False
2025-08-31,-0.45640241477038046,-0.745053080786719,False,False,False,False,False
2025-09-07,-0.7762664109067525,0.3366651982068358,False,False,False,False,False
2025-09-14,0.8702943290228783,0.6237498014441581,False,False,False,False,False
2025-09-21,-0.2181246863000889,-0.021019135611487303,False,False,False,False,False
2025-09-28,0.01866304235850041,-0.3633662503987834,False,False,False,False,False
2025-10-05,0.6949866902264475,1.4740599938535226,False,True,False,False,True
2025-10-12,-0.4944697228840085,-0.9218757476561605,False,False,False,False,False
2025-10-19,-0.11092535926423767,-1.0860297898808635,False,False,False,False,False
2025-10-26,0.14273912464063723,0.9778962565034205,False,False,False,False,False
2025-11-02,1.1979480479326912,-0.7026830447186202,False,False,False,False,False
2025-11-09,-1.2713111767366017,-0.65323064971309,False,False,False,False,False
2025-11-16,0.05187861475077637,-1.8449934615240875,False,False,False,False,False
2025-11-23,-1.0786773386674304,-1.1397280176056923,False,False,False,False,False
2025-11-30,-0.2822513157283817,0.5752602760378933,False,False,False,False,False
2025-12-07,0.35832381736679986,0.013856635885741868,False,False,False,False,False
2025-12-14,-0.7665330219087794,-0.4460775996176225,False,False,False,False,False
2025-12-21,0.41146309162613476,0.03496581416988243,False,False,False,False,False
2025-12-28,0.6918341595479939,-0.539696376623385,False,False,False,False,False
2026-01-04,-0.2553728815359679,0.5616775825537831,False,False,False,False,False
2026-01-11,-0.451936808974624,0.008300240876448954,False,False,False,False,False
2026-01-18,5.2673657550853626e-05,0.6124573984140586,False,False,False,False,False
2026-01-25,0.005069972607499409,-1.6198367975182526,False,False,False,False,False
2026-02-01,0.1712535936343533,-1.9013627385413545,False,False,False,False,False
2026-02-08,-0.593959604622659,-1.381851221000368,False,False,False,False,False
2026-02-15,-0.3381904110431542,-0.6518232499353683,False,False,False,False,False
2026-02-22,0.4757492899747936,-0.2682923697873023,False,False,False,False,False
2026-03-01,-1.1990046853386949,-0.5847356255927808,False,False,False,False,False
2026-03-08,-0.060256009176151426,0.48040405879717474,False,False,False,False,False
2026-03-15,0.09824910306315963,1.7308226058346272,False,True,False,False,True
2026-03-22,-0.789057772629372,-1.1541728876958808,False,False,False,False,False
2026-03-29,-0.5950437242669396,-0.48024405539594045,False,False,False,False,False
2026-04-05,0.7843159937423483,0.30240109632534157,False,False,False,False,False
