target,n,beta_btc_krw,beta_fx,r2,block
GPU_ALL,105,-0.04037940766397199,-0.07730853576205281,0.05527752839577371,H1_H3
CPU_ALL,105,0.0064132761625377305,-0.09528864483722524,0.028263281061262635,H1_H3
RAM_ALL,105,-0.04812812935305676,0.17244089701190177,0.013365145668896794,H1_H3
high,105,-0.03410555865987381,-0.006710227533880402,0.029480140443790104,H2
mid,105,-0.04266082208378285,-0.10753286219524355,0.06309190315707724,H2
low,105,-0.03645635306652446,-0.2362271628519677,0.09302362074968662,H2
