group,total_steps,valid_steps,valid_ratio,ret_steps,ret_valid_ratio,bridge_steps,median_n_matched,median_n_used,total_n_trim,median_n_adj,median_n_adj_used,total_n_adj_trim,min_n_adj,max_n_adj,max_step_n,max_interval_days,max_abs_ret_w,max_abs_ret_lvl,max_abs_log_return
CPU_ALL,109,106,0.9724770642201835,105,0.963302752293578,1,209.0,187.0,2331,208.0,187.0,2309,0,226,3,21.0,0.031347262082650644,0.031347262082650644,0.031347262082650644
GPU_ALL,109,106,0.9724770642201835,105,0.963302752293578,1,711.0,638.0,7462,711.0,638.0,7396,0,752,3,21.0,0.06280498053765088,0.06280498053765088,0.06280498053765088
RAM_ALL,109,106,0.9724770642201835,105,0.963302752293578,1,1156.0,1034.0,11597,1156.0,1034.0,11492,0,1298,3,21.0,0.15000019146778212,0.15000019146778212,0.15000019146778212
