chip_perf_group,obs_n,product_n,zero_share,mean_ret,std_ret,p05,p25,p50,p75,p95
high,31857,857,0.37715415764196253,0.0027777489139972273,0.06244519137190288,-0.036183874322819776,-0.00045222495444541266,0.0,0.0,0.05025235894933957
low,4587,143,0.5168955744495313,0.005151509069744281,0.08809657646761888,-0.022789819152666268,-5.378368208219797e-05,0.0,0.0,0.046160666449171626
mid,35513,893,0.4040773801143243,0.0034898834801399864,0.06504287388403668,-0.030668808923770996,-0.0005947615410377693,0.0,0.0,0.04494274038215807
