cat,n,base_r2,full_r2,ai_F,ai_p,crypto_F,crypto_p,ai_inc_r2,crypto_inc_r2,ai_pr2,crypto_pr2,ai_sens,crypto_sens,ai_cum,crypto_cum,r2_win,sens_win,ai_rmse_gain,crypto_rmse_gain,full_rmse_gain,rmse_win,ai_minus_crypto_loss,loss_p
GPU,98,0.5418502194606769,0.5811171751645532,0.6668684054062478,0.5746698710465625,0.8230010853581796,0.48471123475789435,0.01026087771555817,0.032791729213282106,0.023910120676508436,0.07260034668622127,0.001051515193787004,0.001997484007875252,0.001133939034697227,0.0018675210893460124,Crypto,Crypto,5.212458909106821e-05,0.00013012733105081942,0.0002465936625422275,Crypto,1.8049674608301812e-06,0.5647085565925911
CPU,98,0.071645529590328,0.15186668604522024,6.437933983965429,0.0005517332982553848,2.3062854357005063,0.0823586246370973,0.07496623289668058,0.018409363345146312,0.08121142855326707,0.021244612443680602,0.001718629249779968,0.0008799350462751073,0.0013820811798962713,-0.0005073197064966841,AI,AI,0.00015382736371531182,-0.0006094544171915493,-0.0003119686580932545,AI,-7.618286074882415e-06,0.011532556967520428
RAM,98,0.5286092692819646,0.5627062034697553,0.6823242304988675,0.5652414056134123,2.192257829009266,0.09477184400399467,0.018797874864886932,0.014815310317414565,0.04121512415998829,0.03276932513196791,0.0038600195166814985,0.0037578408065513428,0.003639310613492406,-0.006499094832749731,AI,AI,0.0003511041524879993,2.7903332245317325e-05,0.0002949723083176953,AI,-2.1397914899248655e-05,0.3456265033659788
