date,group,from_date,index_ffill,index_valid,log_return,ret_lvl,ret_w,n_matched,n_used,n_trim,n_adj,n_adj_used,n_adj_trim,step_n,interval_days,bridge,valid_step,ret_ok
2024-03-03,high,,100.0,100.0,,,,0,0,0,0,0,0,0,,False,True,False
2024-03-10,high,2024-03-03,100.04384098359766,100.04384098359766,0.0004383137624631914,0.0004383137624631914,0.0004383137624631914,365,326,39,365,326,39,1,7.0,False,True,True
2024-03-17,high,2024-03-10,100.32535680535602,100.32535680535602,0.002809972891053114,0.002809972891053114,0.002809972891053114,372,332,40,372,332,40,1,7.0,False,True,True
2024-03-24,high,2024-03-17,100.3868413576241,100.3868413576241,0.0006126638515650277,0.0006126638515650277,0.0006126638515650277,366,326,40,366,326,40,1,7.0,False,True,True
2024-03-31,high,2024-03-24,100.3548698869751,100.3548698869751,-0.00031853341013296055,-0.00031853341013296055,-0.00031853341013296055,369,330,39,369,330,39,1,7.0,False,True,True
2024-04-07,high,2024-03-31,100.24598632827629,100.24598632827629,-0.001085574323521214,-0.001085574323521214,-0.001085574323521214,376,333,43,376,333,43,1,7.0,False,True,True
2024-04-14,high,2024-04-07,100.32701292844763,100.32701292844763,0.0008079512684095688,0.0008079512684095688,0.0008079512684095688,373,335,38,373,335,38,1,7.0,False,True,True
2024-04-21,high,2024-04-14,100.49299659756704,100.49299659756704,0.0016530594467005022,0.0016530594467005022,0.0016530594467005022,374,335,39,374,335,39,1,7.0,False,True,True
2024-04-28,high,2024-04-21,100.4134034116467,100.4134034116467,-0.0007923410113443484,-0.0007923410113443484,-0.0007923410113443484,381,343,38,381,343,38,1,7.0,False,True,True
2024-05-05,high,2024-04-28,100.20847250140126,100.20847250140126,-0.002042957484960395,-0.002042957484960395,-0.002042957484960395,384,343,41,384,343,41,1,7.0,False,True,True
2024-05-12,high,2024-05-05,100.31322286995498,100.31322286995498,0.001044778500283413,0.001044778500283413,0.001044778500283413,387,347,40,387,347,40,1,7.0,False,True,True
2024-05-19,high,2024-05-12,100.15822939373287,100.15822939373287,-0.0015462900612988103,-0.0015462900612988103,-0.0015462900612988103,383,343,40,383,343,40,1,7.0,False,True,True
2024-05-26,high,2024-05-19,100.04577544460808,100.04577544460808,-0.0011233937207412081,-0.0011233937207412081,-0.0011233937207412081,390,348,42,390,348,42,1,7.0,False,True,True
2024-06-02,high,2024-05-26,99.92230337481047,99.92230337481047,-0.0012349179550861019,-0.0012349179550861019,-0.0012349179550861019,385,343,42,385,343,42,1,7.0,False,True,True
