date,high,low,mid
2024-03-03,100.0,100.0,100.0
2024-03-10,100.55799722657952,100.45712000150478,100.34631847842704
2024-03-17,101.198138985984,100.05435612836845,101.13467310140466
2024-03-24,101.21584942721857,101.44020289208824,101.67102278456304
2024-03-31,101.40561094164414,101.49194138000796,101.42827272765535
2024-04-07,101.77223853672592,102.16462691840164,101.63849158876428
2024-04-14,101.89640932026114,101.75773265722393,102.26984612314901
2024-04-21,102.30166279680256,102.37060518717962,103.1501831227881
2024-04-28,102.025617388679,103.01311395115052,103.09621297461004
2024-05-05,101.95695153202658,103.75850307658203,103.44276412682501
2024-05-12,102.08560372475549,104.22429076838407,102.7172366168189
2024-05-19,101.99210375366515,104.41247172506009,102.67056392088757
2024-05-26,101.9108044666324,104.32602905307462,102.49968630783404
2024-06-02,101.80591051032785,104.35861556483842,102.5688539519716
2024-06-09,101.58031998209124,104.68303821957755,102.0946761607193
2024-06-16,101.53400847770425,105.00635189892506,102.27604117634644
2024-06-23,102.025061839925,105.30856953140167,102.81799048379358
2024-06-30,102.17363840871123,106.19025348251242,102.77252607777075
2024-07-07,101.7661794449869,105.3084434158236,102.54587031144933
2024-07-14,101.81457141812137,105.80294997523161,102.5532147748366
2024-07-21,101.86845730295957,107.21981347319311,102.3330650558356
2024-07-28,102.39026013387439,108.37379021936923,102.68148615001185
2024-08-04,103.08753361596885,109.47163576501096,103.244961501996
2024-08-11,103.34800912666157,109.97401933747112,103.33154310363325
2024-08-18,103.54470649984906,110.51614641963951,103.5357007537987
2024-08-25,103.78068402427505,111.32389219256561,103.91544845285506
2024-09-01,103.66286004249397,110.96790951780949,103.47176711452269
2024-09-08,103.65339553815633,111.9826036185954,103.41138380493187
2024-09-15,104.22285206306913,112.68189644289299,103.58352904387388
2024-09-22,104.65866654353346,113.47098162362397,103.96575500566149
2024-09-29,104.83309715763164,113.03816466183284,103.92943111727472
2024-10-06,104.73132013528871,112.82799369999053,103.97762941903811
2024-10-13,104.66699274566022,112.32945024133194,104.22886826663562
