group,month,n,mean_ret,std_ret,median_ret,block
CPU_ALL,1,8,0.004836268133092667,0.0012974292667318334,0.004838706430695196,all
CPU_ALL,2,8,-0.0035685630758218985,0.012087563589932,0.0007416866378173272,all
CPU_ALL,3,14,-0.0012273393337359462,0.003926803418014848,-0.00010811846839696046,all
CPU_ALL,4,8,-0.004183672933388497,0.004845575129993475,-0.004755860361639391,all
CPU_ALL,5,8,-0.0017510001299273772,0.004985649667823747,-0.00239464469219808,all
CPU_ALL,6,9,-0.00041712585117591254,0.004095051613178841,0.0005061199882653038,all
CPU_ALL,7,6,-0.0002871234000626262,0.0015015258279591948,-0.0005097660024949776,all
CPU_ALL,8,9,-0.0002635354892413683,0.0029638118161610023,-0.00025009059648853094,all
CPU_ALL,9,9,-0.00024926352544815054,0.005469272429364913,-0.0004947206300789909,all
CPU_ALL,10,8,-0.002039691971325839,0.006552902694460272,-0.0004609623251509078,all
CPU_ALL,11,9,0.0037944522893650374,0.004498692446027827,0.003775087778940618,all
CPU_ALL,12,9,0.0016508478206175739,0.0028130618140448345,0.0018955704194375147,all
GPU_ALL,1,8,0.014298239444324295,0.01630409771205493,0.0061140990987562805,all
GPU_ALL,2,8,0.01249271620775715,0.021279353231451515,0.007257561848304674,all
GPU_ALL,3,14,-0.0020888730796174413,0.0050754220316291294,-0.001761112155566269,all
GPU_ALL,4,8,-0.001729654926008187,0.0027346230753271905,-0.0015804593949432367,all
GPU_ALL,5,8,-0.0027314864215662107,0.002530918312373764,-0.001978135133400369,all
GPU_ALL,6,9,-0.0027780364245004094,0.003102729621133143,-0.0020377322181679234,all
GPU_ALL,7,6,-0.0010305097578557994,0.0030195723870562047,-0.0003715833130798188,all
GPU_ALL,8,9,-0.0008479337668446892,0.0023595114037528843,0.00033141461247179527,all
GPU_ALL,9,9,-0.0006242310290905382,0.0016605526207954283,-0.0005903245825890178,all
GPU_ALL,10,8,-0.00028284988654582194,0.0023447480803905226,-0.0007830133187533044,all
GPU_ALL,11,9,0.0013011558132705024,0.0027547341038422113,0.00034575681544127507,all
GPU_ALL,12,9,0.0025779806677283567,0.0021900779209892474,0.0024898716504068675,all
RAM_ALL,1,8,0.01757315054779271,0.018609942554874446,0.01332484297510945,all
RAM_ALL,2,8,-0.00037102183102494403,0.0034692339143313723,0.0006794096306099001,all
RAM_ALL,3,14,-0.0004081691769619648,0.0036928657478534103,-0.00099340619894039,all
RAM_ALL,4,8,0.0014103059206601305,0.003707085496396422,0.0008537804652518345,all
RAM_ALL,5,8,-0.0003587701160086214,0.001490773955662944,-0.0009303806830311767,all
RAM_ALL,6,9,-0.00016286381502976077,0.0018817979859695171,-0.0002178170964836369,all
RAM_ALL,7,6,0.00011787233708886209,0.0015360889864635815,0.0003057693980892782,all
RAM_ALL,8,9,0.0002389760286597737,0.0015559520464339415,-5.457091387664623e-05,all
RAM_ALL,9,9,0.001601417974472017,0.005743275557863537,0.0007933156278352824,all
RAM_ALL,10,8,0.023187426202221605,0.04053387675944563,0.0021344339915393405,all
RAM_ALL,11,9,0.03630765979053931,0.05324522385969532,0.01088620670262235,all
RAM_ALL,12,9,0.0201823051379822,0.03478903002792036,0.0008143114586613489,all
