date,CPU_ALL,GPU_ALL,RAM_ALL
2024-03-03,100.0,100.0,100.0
2024-03-10,99.88256479189987,100.48498397957921,100.51572213842314
2024-03-17,100.18648487255976,101.04335472340536,100.8813477274887
2024-03-24,99.91281640372748,101.37893239520861,100.18173047282838
2024-03-31,100.31705328373103,101.42505491099928,99.75778462141648
2024-04-07,99.58618454953617,101.78186945920778,99.19221974481013
2024-04-14,99.81075463112857,101.9919138722757,99.74772671859972
2024-04-21,98.3045311049333,102.56036036544964,100.20614759669004
2024-04-28,97.02174476271182,102.45813828646575,100.23323313306418
2024-05-05,96.73864669960753,102.60617529381621,100.05735309922203
2024-05-12,96.6561582348501,102.5216671095398,100.04313737536472
2024-05-19,96.51256169020674,102.47390525520953,99.83393550898026
2024-05-26,95.54324815980667,102.36572042333928,99.78198963880769
2024-06-02,94.60089187502429,102.32655605096271,99.80447575978343
2024-06-09,95.63451942910775,102.08632495657515,99.65948083155469
2024-06-16,95.47310099432609,102.14650498363251,99.55449462432374
2024-06-23,95.84003490671466,102.6323771889749,99.73458486240104
2024-06-30,96.01257484481798,102.8036467947868,99.72555287163333
2024-07-07,95.77812179330716,102.39847952601777,99.60617631399603
2024-07-14,95.6952741734505,102.48171492388595,99.74154262176506
2024-07-21,95.3030702824771,102.59887276454943,99.29096121665722
2024-07-28,95.2673379185648,103.13449380136646,99.34647197530587
2024-08-04,95.71089422348653,103.83145300100254,99.35336615568218
2024-08-11,95.04171320339815,104.06230989254257,99.21806016709085
2024-08-18,94.52124429942081,104.29782676428286,99.2308407472627
2024-08-25,94.86405008875809,104.63889362545639,99.10350973149187
2024-09-01,93.9381390733223,104.38955353380662,98.8934034493064
2024-09-08,93.69767071909476,104.45722817946842,98.62681829384762
2024-09-15,94.14571247685298,104.90181172032085,98.29902903252709
2024-09-22,95.30869338340995,105.35220887786531,98.45587935980838
2024-09-29,95.6960846340494,105.39447135761466,98.2790809197328
2024-10-06,94.33044911205633,105.33491476057738,97.87596542953305
2024-10-13,93.42688495087685,105.33954729323183,97.76426985396087
2024-10-20,93.11627845828633,105.52088340278196,96.98340654150981
2024-10-27,91.93070348071691,105.57414837686375,95.85085870815618
2024-11-03,92.0877346014269,105.46237791600677,95.36458110807848
2024-11-10,92.20650607422616,105.63620469125748,95.2381717059055
2024-11-17,92.14378176736795,105.65615634889815,95.10733194174587
2024-11-24,93.32160805899687,106.26420349617088,95.22642548724785
2024-12-01,93.31359032144414,106.65245094231943,95.32972971085435
2024-12-08,93.51912533977661,106.93196383077527,95.16405168495515
2024-12-15,94.10875709422339,108.14026748366194,95.24427771960305
2024-12-22,93.87342190639072,109.01192212035319,95.09192115264253
2024-12-29,94.30629184214531,109.76955921685854,95.42326773407154
2025-01-05,94.84266665651779,110.76690606060001,95.76294139534906
2025-01-12,95.07216807993461,113.34287109247965,96.12509863197755
2025-01-19,95.91824156991424,114.03297582536295,96.27204234709558
2025-01-26,96.42564461534178,114.93469862122458,96.53703834318759
2025-02-02,95.60022373294174,114.59980970809404,95.83975826230409
2025-02-09,90.89964597479454,116.31731819192515,96.26679669954119
2025-02-16,91.4823354922395,118.85228104904996,96.18425136113787
