date,CPU_ALL,GPU_ALL,RAM_ALL
2024-03-03,,,
2024-03-10,-0.0011750421727331213,0.004838117209268821,0.005143968463995426
2024-03-17,0.0030381542266972547,0.0055413762276440605,0.003630896824781185
2024-03-24,-0.00273532828670067,0.0033156228398267982,-0.006959209860845189
2024-03-31,0.004037733529305254,0.0004548482226457915,-0.004240747373656667
2024-04-07,-0.007312257657144557,0.003511838152471016,-0.005685512819164967
2024-04-14,0.0022524937189686797,0.002061545739830968,0.005584684498606561
2024-04-21,-0.015205818597161651,0.005557972490090272,0.004585274307302254
2024-04-28,-0.013134994557448001,-0.0009971986735526838,0.0002702616266363027
2024-05-05,-0.0029221479417372853,0.0014438107780159583,-0.0017562490814755733
2024-05-12,-0.0008530577622048726,-0.0008239563002988007,-0.00014208584744104504
2024-05-19,-0.0014867476592459543,-0.00046597938329646975,-0.0020933060481413096
2024-05-26,-0.010094167540174061,-0.0010562882212927385,-0.0005204581879596791
2024-06-02,-0.009912101420742501,-0.000382665858517766,0.0002253271134991372
2024-06-09,0.010866932909639165,-0.002350450752440164,-0.0014538461609389598
2024-06-16,-0.0016892939466344207,0.000589327668981701,-0.0010540045366799332
2024-06-23,0.003835955754940134,0.004745343972367428,0.0018073272008898552
2024-06-30,0.001798672270800539,0.0016673769494777305,-9.056436916659037e-05
2024-07-07,-0.002444885726020759,-0.003948962932876689,-0.001197767885694374
2024-07-14,-0.0008653695685345773,0.0008125275619832617,0.0013580925761044532
2024-07-21,-0.004106888395817671,0.001142554297597347,-0.004527724529129918
2024-07-28,-0.0003750043321871959,0.005206955545624327,0.0005589153987916141
2024-08-04,0.004645106382000724,0.0067350387341620814,6.939291389390545e-05
2024-08-11,-0.007016247634058923,0.0022209130588412454,-0.001362794356045355
2024-08-18,-0.005491264946318868,0.002260672082699348,0.0001288047465178556
2024-08-25,0.0036201983352615774,0.0032647891044292696,-0.0012840038345080492
2024-09-01,-0.009808344305035018,-0.0023857059964823213,-0.002122319562201409
2024-09-08,-0.002563140651496866,0.0006480793955769015,-0.002699321770451887
2024-09-15,0.004770384772599222,0.0042470982799922554,-0.0033290659250958094
2024-09-22,0.012277312944849336,0.004284320891444086,0.0015943730379013293
2024-09-29,0.004056356975351643,0.00040107374662938554,-0.0017973265902332463
2024-10-06,-0.014373350983253685,-0.0005652424630476862,-0.00411017779258674
2024-10-13,-0.009624882469388656,4.397811305700578e-05,-0.0011418467938988086
2024-10-20,-0.003330133079772172,0.0017199638040678916,-0.008019274084242436
2024-10-27,-0.012813947976335994,0.0005046539917416765,-0.01174646896106113
2024-11-03,0.001706689399857182,-0.0010592523793966184,-0.005086186019802581
2024-11-10,0.0012889332711344338,0.0016468780831366602,-0.0013264175762445155
2024-11-17,-0.0006804904946236775,0.0001888535638652556,-0.0013747609715933883
2024-11-24,0.012701476295244641,0.005738465301760074,0.0012514181683045476
2024-12-01,-8.591881517785405e-05,0.0036469469942325417,0.001084239274446431
2024-12-08,0.0022002046110564813,0.002617354345079092,-0.001739459067480345
2024-12-15,0.006285139370694331,0.011236377271563238,0.000842673633513198
2024-12-22,-0.002503804477930201,0.008028096053843052,-0.0016009209010519334
2024-12-29,0.004600609604806418,0.006925998676782043,0.003478430433379986
2025-01-05,0.005671469262768295,0.009044795759746654,0.003553331803817982
2025-01-12,0.0024168889750169954,0.02298943416410726,0.0037746768019909357
2025-01-19,0.008859911093075486,0.006070186092937186,0.0015275044415095937
2025-01-26,0.005276010925104492,0.007876460813436145,0.002748793386695723
2025-02-02,-0.00859702886202969,-0.002917985214419487,-0.007249139674759722
2025-02-09,-0.050419053848232774,0.01487581429407262,0.0044458570475382165
2025-02-16,0.006389792405267624,0.021559428208383174,-0.0008578321011712734
2025-02-23,-0.0011916946428857356,0.014279736897686085,-0.00037914458185986345
2025-03-02,-0.002565065981565249,0.01216909392988045,0.004380210609779047
2025-03-09,0.008331009865684998,0.005595804531633247,-0.0037615308780755445
2025-03-16,-0.0035578173489325617,-0.008155258286147923,0.00259743132090089
2025-03-23,-0.02036769317850401,-0.010609536009420894,0.009195254285249489
2025-03-30,-0.017684389760258785,-0.004304139545334601,0.00763352611131261
2025-04-06,-0.0030571847208777196,-0.004604054055886901,0.0015883596371940646
2025-04-13,-0.010481613890405219,-0.0039033106540519915,0.0020211042503686925
2025-04-20,0.003300705547202717,-0.00780099593041973,0.010716746863958819
2025-04-27,-0.016096515761350683,-0.0024707243786002676,-0.0008431720452731054
2025-05-04,-0.008126970963143104,-0.005051878982107295,0.0012195376624175185
2025-05-11,-0.0006124045685707144,-0.004306811131091942,-0.00020980486780116053
2025-05-18,-0.005275462600774448,-0.006605780997730964,0.0005974374372250189
2025-05-25,0.01169054600644413,-0.003063191326337345,0.0035100891141452715
2025-06-01,-0.005639856829511804,-0.009869258040207001,-0.0004332181951422622
2025-06-08,0.0032266504461134957,-0.004256746555194906,0.0008398953935579597
2025-06-15,0.0005866803582253469,-0.0050753575022045305,0.002157131788393309
2025-06-22,-0.001518351578775682,-0.007304269527046697,0.00609087605209196
2025-06-29,,,
2025-07-06,,,
2025-07-13,,,
2025-07-20,-0.007399500341406874,-0.0007991946343148543,0.00458907247172312
2025-07-27,0.002337251865739494,-0.00790015041991084,0.005126661788207839
2025-08-03,0.006227016880129506,-0.003545894859193928,0.006605552763646154
2025-08-10,-0.001948507303349852,-0.0045496102818369496,-0.0011293267350508255
2025-08-17,0.0016448802196893475,0.0012576450675675461,0.00248166114058249
2025-08-24,0.008026185485864252,-0.0023991470488896665,0.0028661673906686396
2025-08-31,-0.006780514051327001,-0.0047484183072577886,0.0016326794064929952
2025-09-07,0.004023564212136225,-0.0029461587826135273,0.0036201762333793316
2025-09-14,0.010810272113006869,-0.00039419197699841463,0.0007302601054931436
2025-09-21,-0.0021243846405372916,-0.00018795599964427367,0.0099071111408673
2025-09-28,-0.013203762622026376,-6.962170350658223e-05,0.02139388253495801
2025-10-05,0.013590207431123713,-0.00041542061813072077,0.04414373193908695
2025-10-12,0.002408285009741319,-0.002532142569286782,0.011721520262213861
2025-10-19,0.0009170104995990711,0.0066202076344406375,0.06739310244907465
2025-10-26,0.0019023140543034161,-0.0015605284811304556,0.11606828068732801
2025-11-02,0.009536984638722566,-0.0010473924179722292,0.15699871032049686
2025-11-09,0.014428721300024863,0.008449197926629824,0.05226605199949224
2025-11-16,0.007022627236969707,0.007922966763267494,0.10497529557895423
2025-11-23,0.011030569376278375,-0.003436703578035546,0.04200121685169729
2025-11-30,0.0038319895548859506,-0.0005772757349004043,0.019805086436720888
2025-12-07,0.0005776415306607448,0.001000433517092888,0.018634999171381107
2025-12-14,0.008446185311955597,-0.0007871308472902632,0.02559842592434474
2025-12-21,0.007721492110740732,0.003991782109022479,0.06581335664740003
2025-12-28,0.006774510489645783,0.007471121432998588,0.10976050101555088
2026-01-04,0.008573156068683557,0.004721065939003841,0.045188468816710986
2026-01-11,0.00951300329048269,0.009041979771599127,0.03280492520116307
2026-01-18,0.007236575477236191,0.035215002273441556,0.057857689600422035
2026-01-25,0.004444489640800891,0.058474175044290366,0.03134784673958614
