group,month,n,mean_ret,std_ret,median_ret,block
high,1,8,0.01639543546041904,0.018599341702397222,0.007116932304465652,chip
high,2,8,0.013302829501522765,0.016515130101625242,0.010811843745478819,chip
high,3,14,-0.004762481051905291,0.00863530676003347,-0.00046471528508317136,chip
high,4,8,-0.004106705661990097,0.005180178138520635,-0.002472518280000252,chip
high,5,8,-0.00402273172555734,0.0038536846200865342,-0.0028989197771611824,chip
high,6,9,-0.002854562111600518,0.0029249049729054475,-0.002831408174012617,chip
high,7,6,-0.0012591576845929103,0.003791769769536019,-0.0002984788191414878,chip
high,8,9,-0.0006692380485145496,0.0020361412693164346,0.00011734327899965838,chip
high,9,9,-0.00027891793448493236,0.0019499824769124907,-0.00031081748031268493,chip
high,10,8,0.00010541014909307709,0.002117459442083583,-0.0007331450214789174,chip
high,11,9,0.0016577276370347445,0.003910360005857085,0.0015698218971745843,chip
high,12,9,0.0019498045031302131,0.0025898830521259133,0.0015895943395237877,chip
low,1,8,0.008579953856669877,0.009518371044939187,0.005074685862924946,chip
low,2,8,0.012880546808446967,0.02888324939823275,0.003283253612819088,chip
low,3,14,0.0011908806273834831,0.0052912775370622936,0.0019306394227142903,chip
low,4,8,0.0010599289349025112,0.004905468672382726,0.0008912623307499551,chip
low,5,8,-4.799200756640102e-05,0.003744004500684924,-0.00033997384497083606,chip
low,6,9,-0.00035247969484228,0.0021971404282299886,-8.590953235940383e-05,chip
low,7,6,7.271878692802698e-05,0.0038811951681115378,0.0010106070308863653,chip
low,8,9,-0.0002158299224818187,0.003168739685606592,0.00028034091195784167,chip
low,9,9,0.00037716702808671517,0.002590039225401848,0.00016429224965285193,chip
low,10,8,-0.0003993845629303503,0.0033216438861669068,-0.0015304556191475939,chip
low,11,9,0.002837299955606308,0.0071936233358017385,0.0023317729751590353,chip
low,12,9,0.0019300842974707996,0.003803909120036866,0.0008150488755921719,chip
mid,1,8,0.013494308386636528,0.016004777828343808,0.005879094578420335,chip
mid,2,8,0.011371962873111839,0.02464758764457522,0.004037670394492636,chip
mid,3,14,-0.0006398982132179154,0.005786879773201877,0.0015769107761803658,chip
mid,4,8,2.302496173701697e-05,0.001998104832257114,-0.0005361646336548804,chip
mid,5,8,-0.0020435197813989314,0.0019424932103225864,-0.0021610055877669975,chip
mid,6,9,-0.0028114618577406505,0.003432848210433879,-0.0022281899826885397,chip
mid,7,6,-0.0011155619983466223,0.00268930186966508,-0.0005110727402694873,chip
mid,8,9,-0.0010290973442498037,0.0024978340330213977,0.0002763570386996667,chip
mid,9,9,-0.0009050561166377283,0.001388062087853077,-0.000994247766789476,chip
mid,10,8,-0.00037429599959698035,0.0025406973543619037,-0.0010009735040123434,chip
mid,11,9,0.0009097712586759127,0.0026513638851960457,0.001000343261573226,chip
mid,12,9,0.0032202748608867707,0.0026566923857063328,0.00355955725023604,chip
