K_btc_lag,n,aic,bic,ec_l1_coef,ec_l1_p
0,106,-691.2230520671783,-677.9058565966179,-0.002195278307195519,0.9219552574325112
1,105,-681.7246655752548,-665.8009034743096,-0.0018434010716680618,0.9362700957965178
2,104,-673.009544860025,-654.4988085660354,0.0014529750203101984,0.9553919576979264
3,103,-663.6543369628829,-642.5765050570458,0.0026119926722232394,0.9225615681913538
4,102,-654.9522609174353,-631.3275055978769,0.005511765043652134,0.8270169102941853
5,101,-645.813117942779,-619.6619127743663,0.006948780755725541,0.7700208798166404
6,100,-636.5884615385183,-607.9315894926493,0.0052168320947362495,0.8204268555686872
7,99,-627.7578990998625,-596.6164608982474,0.007518116705820189,0.7439074425566895
8,98,-618.9195115457999,-585.3149343230824,0.007415637925656521,0.7438199171490558
