term,coef,se_HAC,t_HAC,p_value_HAC
Intercept,8.595206086174428e-05,0.00048159543347916584,0.1784735794540349,0.8583510686142369
btc_krw_ret_l0,-0.0018237032035331707,0.013961059663999624,-0.1306278497065536,0.8960697106141061
btc_krw_ret_l1,0.021679617952836714,0.013669073020277782,1.5860342483118979,0.1127315407195948
btc_krw_ret_l2,0.033298965036862534,0.022123679855666184,1.5051277750402903,0.1322912293829218
btc_krw_ret_l3,-0.012252631764057175,0.008733075462856524,-1.4030145297804892,0.1606125062298609
btc_krw_ret_l4,0.0036536057192851634,0.013444471783306355,0.2717552446963182,0.7858102200315555
btc_krw_ret_l5,-0.0029214715345334784,0.01165978554890965,-0.25055962841500773,0.8021545979992108
btc_krw_ret_l6,-0.020890552114571942,0.008849592528442989,-2.3606230509968418,0.018244264543836503
btc_krw_ret_l7,0.026327627224861955,0.014909836848189086,1.7657890889704568,0.07743123971591147
btc_krw_ret_l8,0.011729043334371643,0.011426540443887571,1.0264737075906374,0.3046683506698944
fx_ret,-0.08317901989379682,0.11751990037699658,-0.7077866780601725,0.4790777405195815
nvda_ret,-0.015800889749909612,0.016597356879185166,-0.9520124116705349,0.3410906873072026
nasdaq_ret,-0.07544905687081563,0.0659951265023315,-1.1432519470683966,0.25293399988458454
sox_ret,0.09437571504319126,0.05960291704403228,1.5834076539151634,0.11332857958665384
gpu_ret_l1,0.7501073093932805,0.1580470371997283,4.746101683926853,2.0737449095544075e-06
