series,adf_stat,p_value,used_lag,nobs,crit_1pct,crit_5pct,crit_10pct
log_gpu_index,-2.380169993794807,0.14741167517675552,4,102,-3.4961490537199116,-2.8903209639580556,-2.5821223452518263
log_btc_krw,-1.503699733402244,0.5316803462030023,1,105,-3.4942202045135513,-2.889485291005291,-2.5816762131519275
