date,resid,fitted,std_resid,abs_std_resid
2026-02-08,-0.029086091397210467,0.04181455285249737,-4.573712059525401,4.573712059525401
2026-01-25,0.026569516118124595,0.022614609765188004,4.177987156324332,4.177987156324332
2026-01-18,0.02346575079870623,0.0039561093967012675,3.6899281497875536,3.6899281497875536
2026-02-01,0.02196265910058972,0.040842321437061076,3.453570898056325,3.453570898056325
2026-03-08,-0.010926695859546242,0.0018979889116254418,-1.7181944435602603,1.7181944435602603
2025-02-09,0.009621480398392526,-0.001337495591202424,1.512952714328457,1.512952714328457
2024-12-15,0.007651420709874438,-0.0010900141818970372,1.2031659632552552,1.2031659632552552
2025-02-16,0.007535717513974636,0.005908342055589563,1.1849719372795509,1.1849719372795509
2025-05-11,-0.007392020330887127,0.0018725878421104267,-1.162375929784704,1.162375929784704
2025-06-01,-0.007323583003541041,-0.00039356155651525896,-1.1516143384409288,1.1516143384409288
