date,resid,fitted,std_resid,abs_std_resid
2024-05-05,-0.0016778271368994326,0.0010391109567019325,-0.2638339440331912,0.2638339440331912
2024-05-12,0.001557885362774274,-0.0009452804275938739,0.244973412679373,0.244973412679373
2024-05-19,-0.00196770411979241,0.0008878867862658101,-0.3094163440308617,0.3094163440308617
2024-05-26,-0.00246895940321652,0.00104368366565122,-0.38823743083104784,0.38823743083104784
2024-06-02,-0.006563965298531569,0.004965857863349169,-1.0321664342662193,1.0321664342662193
2024-06-09,-0.0008089446436633195,-0.0012287875745045805,-0.12720443670771947,0.12720443670771947
2024-06-16,8.486111158375166e-05,-0.0004278767143443517,0.013344188606674039,0.013344188606674039
2024-06-23,0.0015858598343352608,-9.356970005746073e-05,0.2493723254170813,0.2493723254170813
2024-06-30,0.00354018457586965,-0.0032851162130838503,0.5566847970901214,0.5566847970901214
2024-07-07,-0.0019584289953293015,-0.0005111467420055985,-0.3079578548845824,0.3079578548845824
2024-07-14,0.0011971003611818821,-0.0005732692616947821,0.18824091156245532,0.18824091156245532
2024-07-21,0.0025176031984446017,-0.002183466795461402,0.3958865408409648,0.3958865408409648
2024-07-28,-0.00039159669272472624,0.002938578950182726,-0.06157755923702818,0.06157755923702818
2024-08-04,-0.003504971915785389,0.005653323472131289,-0.5511476980734141,0.5511476980734141
2024-08-11,0.0022097444181979637,-0.0018496968926078636,0.34747655007885536,0.34747655007885536
2024-08-18,0.0014161473435571519,-0.0010847327310854519,0.22268547859659807,0.22268547859659807
2024-08-25,0.00016328790017688987,0.00120577460653101,0.025676596694090247,0.025676596694090247
2024-09-01,-0.0034111159561770917,-0.0003334258250887081,-0.5363890930598862,0.5363890930598862
2024-09-08,0.002810133167904939,-0.003330292173840039,0.44188611606136236,0.44188611606136236
2024-09-15,0.00036398027213674,0.00051528528306116,0.057234949081566996,0.057234949081566996
2024-09-22,0.0005253351390861879,0.001696147981673812,0.08260758133907907,0.08260758133907907
2024-09-29,-0.0025558872823613133,0.0025374633453880955,-0.4019066132496811,0.4019066132496811
2024-10-06,-0.0018579050353837877,0.0007416690638032877,-0.2921507241981217,0.2921507241981217
2024-10-13,-0.0014060602905625694,0.0007411458994902695,-0.22109931580503034,0.22109931580503034
