term,coef_huber,se_huber,t_huber,p_value_huber
const,-0.0001959996367287083,0.00033447146627019403,-0.5859980790420404,0.5578768057366377
btc_krw_ret_l0,-0.008174125104128273,0.007774912479037015,-1.0513462532430595,0.2930995910474462
btc_krw_ret_l1,0.010390722989544979,0.007705460638677114,1.3484882315003137,0.1775014027895211
btc_krw_ret_l2,0.009850844915709343,0.00770588300221588,1.2783538126489418,0.20112470167101437
btc_krw_ret_l3,-0.00850003113314042,0.007604398686484475,-1.1177782075324088,0.2636617311343019
btc_krw_ret_l4,0.008400651622554493,0.007779921497669739,1.0797861681600098,0.2802374119873662
btc_krw_ret_l5,0.007786935598811148,0.0072787030856178506,1.0698245974887375,0.2846982682765018
btc_krw_ret_l6,-0.015393523702956992,0.007191237725804867,-2.1405944692551655,0.03230675519595556
btc_krw_ret_l7,0.011282376621023125,0.007262359769136445,1.5535414079829721,0.12029384475169753
btc_krw_ret_l8,0.014026338101083264,0.0074132742820309586,1.8920570813198854,0.05848337585351869
fx_ret,0.006195845987533179,0.03655794488046726,0.16948015015044215,0.8654189843882926
nvda_ret,0.0020140090635395475,0.006851367768997324,0.29395722597946183,0.7687905887507869
gpu_ret_l1,0.6681728690354498,0.038042312471260796,17.563939351484574,4.653100056686886e-69
