,gpu_ret,btc_krw_ret,time_regime,btc_vol_12w,btc_vol_regime
2024-03-10,0.0021887343214245,0.06650515167179094,early,,
2024-03-17,0.003091853496721,0.040156960620354454,early,,
2024-03-24,0.0020496207331638,-0.056946805081260266,early,,
2024-03-31,0.0010933686827927,0.07555088769235851,early,,
2024-04-07,-0.0001153440516104,-0.028034704955079093,early,,
2024-04-14,0.0002916726195209,0.017279613120329884,early,,
2024-04-21,0.0024268508891515,-0.0611719552353982,early,,
2024-04-28,-0.0009344710930582,0.01189797564162376,early,,
2024-05-05,-0.0006387161801975,-0.05130844271496926,early,,
2024-05-12,0.0006126049351804,-0.001375468331811902,early,,
2024-05-19,-0.0010798173335266,0.04611355010639784,early,,
2024-05-26,-0.0014252757375653,0.06864958041354896,early,0.05052216126817826,high_btc_vol
2024-06-02,-0.0015981074351824,-0.010917812308282038,early,0.04759390891547201,high_btc_vol
2024-06-09,-0.0020377322181679,0.0266188741577551,early,0.04681711837002177,high_btc_vol
2024-06-16,-0.0003430156027606,-0.03624910725102737,early,0.04474190236230254,low_btc_vol
2024-06-23,0.0014922901342778,-0.03301168989894521,early,0.03983169323590961,low_btc_vol
2024-06-30,0.0002550683627858,-0.055569655624331915,early,0.0420548092673882,low_btc_vol
2024-07-07,-0.0024695757373349,-0.04106698130951614,early,0.04241594008810663,low_btc_vol
2024-07-14,0.0006238310994871,-0.014270347999925548,early,0.039476725622911185,low_btc_vol
2024-07-21,0.0003341364029832,0.12651589818618447,early,0.05530172533663791,high_btc_vol
2024-07-28,0.002546982257458,0.017633574564083432,early,0.05278270107267019,high_btc_vol
2024-08-04,0.0021483515563459,-0.06877663740061735,early,0.057240652636631265,high_btc_vol
2024-08-11,0.0003600475255901,-0.08369012135061382,early,0.06035518856915212,high_btc_vol
2024-08-18,0.0003314146124717,0.006822322947773074,early,0.05560608811145246,high_btc_vol
2024-08-25,0.0013690625067079,0.025173260755213533,early,0.05674235542723267,high_btc_vol
2024-09-01,-0.0037445417812658,-0.035645311759228804,early,0.05584709968490456,high_btc_vol
2024-09-08,-0.0005201590059351,-0.05372722862003343,early,0.05664510865974909,high_btc_vol
2024-09-15,0.0008792655551979,0.039964580011851325,early,0.05870451003376899,high_btc_vol
2024-09-22,0.00222148312076,0.04889924326305106,early,0.059299801699557564,high_btc_vol
2024-09-29,-1.842393697321792e-05,0.039711579530024466,early,0.059130792349510804,high_btc_vol
2024-10-06,-0.0011162359715805,-0.03579422645434249,early,0.06005627377322828,high_btc_vol
2024-10-13,-0.0006649143910723,0.011633530812829918,early,0.04594679539377149,low_btc_vol
2024-10-20,-0.0002683651559029,0.10345530316437035,early,0.05580506393309808,high_btc_vol
2024-10-27,-0.0004713226736937,0.005053515315026402,early,0.05145308054084728,high_btc_vol
2024-11-03,-0.0010088848228184,0.04324707214970758,early,0.04382291197057747,low_btc_vol
2024-11-10,0.000701760281986,0.06469879694772729,early,0.04579360246936509,low_btc_vol
2024-11-17,-0.0001507335984274,0.1897681283424255,early,0.0668425041496938,high_btc_vol
2024-11-24,0.003882949400398,0.06774349830680038,early,0.06347220763703895,high_btc_vol
2024-12-01,0.0015641566684912,-0.007131224532759717,early,0.05817276606006589,high_btc_vol
2024-12-08,0.0004002235174707,0.04626727906981287,early,0.058125953900156874,high_btc_vol
2024-12-15,0.0065614065279774,0.030756031373428527,early,0.05833967985334588,high_btc_vol
2024-12-22,0.0049101251975782,0.003815769959185644,early,0.05963191412991264,high_btc_vol
2024-12-29,0.0032848718252147,-0.026728262387823776,early,0.058582432473977625,high_btc_vol
2025-01-05,0.0062235048634052,0.005027422534407577,early,0.05894804656271132,high_btc_vol
2025-01-12,0.0143923698487862,-0.00685802974784977,early,0.057385342477471755,high_btc_vol
2025-01-19,0.0031435754681973,0.04140241150239987,early,0.056636191958475045,high_btc_vol
2025-01-26,0.0048167891131284,0.020320576823756653,early,0.056817265709558445,high_btc_vol
2025-02-02,-0.0018015039676933,-0.011270472861252046,early,0.05752723438721388,high_btc_vol
2025-02-09,0.0082839848071901,-0.04097464803802353,early,0.0319275511851592,low_btc_vol
2025-02-16,0.0134440595695642,-0.009160732862667942,early,0.02660041434632387,low_btc_vol
2025-02-23,0.0062311388894191,-0.010904361514636918,early,0.026763031633140904,low_btc_vol
2025-03-02,0.0049706103431083,-0.08984295126816022,early,0.03465666314423504,low_btc_vol
2025-03-09,0.002176969251147,-0.008816912803101928,late,0.03246046858093638,low_btc_vol
2025-03-16,-0.0068990217167367,-0.04892388113333723,late,0.033790710198420004,low_btc_vol
2025-03-23,-0.0071704500308572,0.029895879502294775,late,0.0359726432789009,low_btc_vol
2025-03-30,-0.0048270820339037,0.01644401308221788,late,0.036576409855381055,low_btc_vol
2025-04-06,-0.0053854799725262,-0.035975109791728244,late,0.037315262387569555,low_btc_vol
2025-04-13,-0.0024804948533599,-0.027489438120749554,late,0.033392449065308374,low_btc_vol
2025-04-20,-0.0054135252493549,0.019785421217896726,late,0.03333684492216179,low_btc_vol
2025-04-27,-0.0022264476968281,0.10504094137701969,late,0.048817962342570145,high_btc_vol
2025-05-04,-0.0053462800946931,0.013767922909860175,late,0.04804999199400157,high_btc_vol
2025-05-11,-0.0055194324887767,0.03365882838182088,late,0.049195884975524275,high_btc_vol
2025-05-18,-0.0059239799437151,0.04368889108850382,late,0.05062751731645622,high_btc_vol
2025-05-25,-0.0025309945292353,0.020361882501159556,late,0.04110333656734304,low_btc_vol
2025-06-01,-0.0077171445600563,-0.01530109385194578,late,0.04146375729764506,low_btc_vol
2025-06-08,-0.0053133153242719,-0.026130942158161474,late,0.03881075045658746,low_btc_vol
2025-06-15,-0.0038372718501978,0.023804477381620615,late,0.038634970306197745,low_btc_vol
2025-06-22,-0.0059030993269302,-0.026315378846632598,late,0.040353344192603474,low_btc_vol
2025-07-20,-0.0010773030291428,0.047209414415394946,late,0.03871007246431988,low_btc_vol
2025-07-27,-0.0061411295405854,-0.0054272587653976245,late,0.03684927924484533,low_btc_vol
2025-08-03,-0.0022407593890201,-0.017219894975294636,late,0.03834247455380448,low_btc_vol
2025-08-10,-0.0044295719276501,0.0033958111333447505,late,0.026333932616572835,low_btc_vol
2025-08-17,0.0007526303883068,0.022744695735323006,late,0.026639712389581387,low_btc_vol
2025-08-24,-0.0020857821606559,-0.036364343164351,late,0.02829467592813466,low_btc_vol
2025-08-31,-0.0038367970136984,-0.038492375794501044,late,0.0274498090240157,low_btc_vol
2025-09-07,-0.0017175809401186,0.005072860036705151,late,0.026557695977215894,low_btc_vol
2025-09-14,-0.00110595469092,0.03239089067781009,late,0.028420355621409574,low_btc_vol
2025-09-21,-0.000590324582589,0.014146543364940811,late,0.027584439531224792,low_btc_vol
2025-09-28,-0.0010218429999708,-0.03221200441078764,late,0.028303998894479866,low_btc_vol
2025-10-05,-0.0026937063237255,0.07164416049512567,late,0.03432502132914891,low_btc_vol
2025-10-12,-0.001363887671541,0.0055570409023602,late,0.031740707033976294,low_btc_vol
2025-10-19,0.0052167453415838,-0.07552633037033374,late,0.03889650244424457,low_btc_vol
2025-10-26,-0.0009011122464342,0.01344253328656464,late,0.0389374941390137,low_btc_vol
2025-11-02,-0.0020940157829115,-0.0018117161674560123,late,0.038910829221357385,low_btc_vol
2025-11-09,0.005944401116157,-0.05631154557690721,late,0.04104510005568459,low_btc_vol
2025-11-16,0.0044040546796509,-0.0345212217962505,late,0.0409334446188779,low_btc_vol
2025-11-23,-0.0003148857700413,-0.1071778177182594,late,0.049485735919080065,high_btc_vol
2025-11-30,0.0003457568154412,0.017151178475110385,late,0.050023868388333725,high_btc_vol
2025-12-07,0.0003569740756914,0.006434801178176741,late,0.048429411877524406,high_btc_vol
