,gpu_ret,btc_krw_ret,fx_ret,nvda_ret,resid,resid_sq,btc_abs,btc_sq
2024-05-05,-0.0006387161801975,-0.05130844271496926,0.0007051897630061532,0.04737000076360598,-0.0016778271368994326,2.815103901316147e-06,0.05130844271496926,0.002632556293835282
2024-05-12,0.0006126049351804,-0.001375468331811902,-0.012364033486304216,0.04529571509327024,0.001557885362774274,2.427006803546331e-06,0.001375468331811902,1.8919131318174168e-06
2024-05-19,-0.0010798173335266,0.04611355010639784,0.0005460849178717808,0.02503695993106625,-0.00196770411979241,3.871859503048024e-06,0.04611355010639784,0.002126459503415264
2024-05-26,-0.0014252757375653,0.06864958041354896,0.0021159260128156276,0.06601817788072584,-0.00246895940321652,6.0957605347312735e-06,0.06864958041354896,0.004712764890956325
2024-06-02,-0.0015981074351824,-0.010917812308282038,0.003688115570379402,0.12559297469207387,-0.006563965298531569,4.308564044032663e-05,0.010917812308282038,0.00011919862559887475
2024-06-09,-0.0020377322181679,0.0266188741577551,0.003654069350282896,0.05988520691002819,-0.0008089446436633195,6.54391436511575e-07,0.0266188741577551,0.0007085644614264024
2024-06-16,-0.0003430156027606,-0.03624910725102737,0.0020331297318341157,0.05469323265547921,8.486111158375166e-05,7.201408259229951e-09,0.03624910725102737,0.0013139977764964849
2024-06-23,0.0014922901342778,-0.03301168989894521,0.00556668712566033,0.04001011990021386,0.0015858598343352608,2.514951414157861e-06,0.03301168989894521,0.001089771669984121
2024-06-30,0.0002550683627858,-0.055569655624331915,0.004737698471579677,-0.057763694019566714,0.00354018457586965,1.2532906831225376e-05,0.055569655624331915,0.003087986626206844
2024-07-07,-0.0024695757373349,-0.04106698130951614,-0.004699543074108803,0.013369827020325076,-0.0019584289953293015,3.835444129746538e-06,0.04106698130951614,0.0016864969538761478
2024-07-14,0.0006238310994871,-0.014270347999925548,-0.00248836126654961,0.03872353549026197,0.0011971003611818821,1.4330492747417926e-06,0.014270347999925548,0.00020364283203897908
2024-07-21,0.0003341364029832,0.12651589818618447,0.001208610221062223,-0.06269489148238616,0.0025176031984446017,6.3383258648184885e-06,0.12651589818618447,0.016006272493856995
2024-07-28,0.002546982257458,0.017633574564083432,0.002928072720112418,-0.04382159682059594,-0.00039159669272472624,1.5334796975294365e-07,0.017633574564083432,0.0003109429519070902
2024-08-04,0.0021483515563459,-0.06877663740061735,-0.005908295109896322,-0.06502502175238334,-0.003504971915785389,1.22848281304443e-05,0.06877663740061735,0.0047302258521359965
2024-08-11,0.0003600475255901,-0.08369012135061382,-0.005807357843899297,-0.06633504124506384,0.0022097444181979637,4.882970393757057e-06,0.08369012135061382,0.0070040364116804674
2024-08-18,0.0003314146124717,0.006822322947773074,-0.0042698572661006295,0.1395540048334274,0.0014161473435571519,2.005473298663978e-06,0.006822322947773074,4.654409040371109e-05
2024-08-25,0.0013690625067079,0.025173260755213533,-0.019889113606064157,0.07935849923526206,0.00016328790017688987,2.666293834417795e-08,0.025173260755213533,0.0006336930570499739
2024-09-01,-0.0037445417812658,-0.035645311759228804,-0.005121441120382819,-0.03471300039077008,-0.0034111159561770917,1.1635712066485954e-05,0.035645311759228804,0.0012705882504126151
2024-09-08,-0.0005201590059351,-0.05372722862003343,0.00478977117995516,-0.15152816509580358,0.002810133167904939,7.896848421359448e-06,0.05372722862003343,0.0028866150951893394
2024-09-15,0.0008792655551979,0.039964580011851325,0.002828736717854774,0.07069755633853347,0.00036398027213674,1.324816385047353e-07,0.039964580011851325,0.0015971676555236664
2024-09-22,0.00222148312076,0.04889924326305106,-0.011389213910265816,0.018368027552598143,0.0005253351390861879,2.759770083587044e-07,0.04889924326305106,0.002391135991699045
2024-09-29,-1.842393697321792e-05,0.039711579530024466,0.0025410075728213855,0.04447823886352342,-0.0025558872823613133,6.5325598001363e-06,0.039711579530024466,0.0015770095487694581
2024-10-06,-0.0011162359715805,-0.03579422645434249,-0.004600635627859617,-0.0016935178450294686,-0.0018579050353837877,3.4518111205044333e-06,0.03579422645434249,0.0012812266474647518
2024-10-13,-0.0006649143910723,0.011633530812829918,0.01718461181296238,0.09132811631967108,-0.0014060602905625694,1.9770055406968973e-06,0.011633530812829918,0.00013533903917306312
2024-10-20,-0.0002683651559029,0.10345530316437035,0.01192267694034399,0.026022135442259398,0.0017592253301804894,3.094873762348652e-06,0.10345530316437035,0.010702999752831777
2024-10-27,-0.0004713226736937,0.005053515315026402,0.010651988578643135,0.041111526288730715,-0.001111408225700401,1.2352282441545134e-06,0.005053515315026402,2.55380170392064e-05
2024-11-03,-0.0010088848228184,0.04324707214970758,0.004134060627691838,-0.028165693787588708,-0.002553215517572469,6.51890947917285e-06,0.04324707214970758,0.0018703092495220128
2024-11-10,0.000701760281986,0.06469879694772729,-0.0003432757184542723,0.040645800695961576,0.0012002581013362433,1.4406195098232836e-06,0.06469879694772729,0.0041859343264832455
2024-11-17,-0.0001507335984274,0.1897681283424255,0.01471544326327301,0.014966053470847562,-0.004492679941797327,2.0184173059428033e-05,0.1897681283424255,0.03601194253458728
2024-11-24,0.003882949400398,0.06774349830680038,-0.004436551743100203,-0.009581383801879895,-0.00010728353892486579,1.1509757724243194e-08,0.06774349830680038,0.004589181562843466
2024-12-01,0.0015641566684912,-0.007131224532759717,0.00041028103825180295,-0.05468223745295919,-0.004667619665795802,2.178667334452371e-05,0.007131224532759717,5.085436333663404e-05
2024-12-08,0.0004002235174707,0.04626727906981287,0.0067518681739908715,0.04057913845607075,-0.0025550770330044397,6.5284186445867705e-06,0.04626727906981287,0.0021406611125239445
2024-12-15,0.0065614065279774,0.030756031373428527,0.016722189747956584,-0.03822052622006833,0.007651420709874438,5.854423887949544e-05,0.030756031373428527,0.0009459334658433199
2024-12-22,0.0049101251975782,0.003815769959185644,0.006882769103171427,-0.041903279254742465,-0.0018602883316219537,3.4606726767687922e-06,0.003815769959185644,1.4560100381423613e-05
2024-12-29,0.0032848718252147,-0.026728262387823776,0.010364974510692626,0.05827325146475726,0.0007793747137917121,6.074249444979132e-07,0.026728262387823776,0.0007144000102723551
2025-01-05,0.0062235048634052,0.005027422534407577,0.012402964161635666,-0.004392298465386801,0.0013942501360728618,1.9439334419391937e-06,0.005027422534407577,2.527497733946911e-05
2025-01-12,0.0143923698487862,-0.00685802974784977,-0.009103293250919187,0.019442163248149846,0.005950135313049946,3.5404110243603975e-05,0.00685802974784977,4.703257202239238e-05
2025-01-19,0.0031435754681973,0.04140241150239987,-0.0011156350561654094,-0.04952212313849724,-0.006973433042752539,4.862876840175293e-05,0.04140241150239987,0.0017141596782140533
2025-01-26,0.0048167891131284,0.020320576823756653,-0.013148480422987774,0.07119297424165616,-0.000593076153144031,3.517393234281221e-07,0.020320576823756653,0.00041292584245019605
2025-02-02,-0.0018015039676933,-0.011270472861252046,-0.0018343645045177936,-0.15956023472560066,-0.005769244158298083,3.328417815805655e-05,0.011270472861252046,0.00012702355851621888
2025-02-09,0.0082839848071901,-0.04097464803802353,0.010862304986970273,0.004121936557324624,0.009621480398392526,9.257288505665159e-05,0.04097464803802353,0.0016789217818399056
2025-02-16,0.0134440595695642,-0.009160732862667942,-0.0009050218242947494,0.08290479784961668,0.007535717513974636,5.678703845042407e-05,0.009160732862667942,8.391902658116439e-05
2025-02-23,0.0062311388894191,-0.010904361514636918,-0.008283794250691479,0.02912644943241638,-0.004377749555878484,1.9164691173994264e-05,0.010904361514636918,0.00011890510004189473
2025-03-02,0.0049706103431083,-0.08984295126816022,-0.0012535229756380772,-0.08829603110572481,0.0019643110294688,3.858517820492777e-06,0.08984295126816022,0.008071755892573012
2025-03-09,0.002176969251147,-0.008816912803101928,0.01155678303997032,-0.10388991516937374,0.002274792116569492,5.1746791736067106e-06,0.008816912803101928,7.77379513775027e-05
2025-03-16,-0.0068990217167367,-0.04892388113333723,-0.0005197196980688545,-0.004113897589307136,-0.006883934314339538,4.738855164414137e-05,0.04892388113333723,0.002393546145148911
2025-03-23,-0.0071704500308572,0.029895879502294775,-0.0009234198264440607,0.03558434840426017,-0.0037071858131273493,1.3743226653052685e-05,0.029895879502294775,0.0008937636112157289
2025-03-30,-0.0048270820339037,0.01644401308221788,0.009764543532495118,-0.02095660714773384,0.003914215981465518,1.5321086749560068e-05,0.01644401308221788,0.00027040556624815273
2025-04-06,-0.0053854799725262,-0.035975109791728244,0.0009903847804366706,-0.09519738918775023,-0.0017811852028644663,3.17262072690333e-06,0.035975109791728244,0.0012942085245269013
2025-04-13,-0.0024804948533599,-0.027489438120749554,-0.002423449802941846,0.002702091528521855,0.0006445196209204761,4.1540554175147425e-07,0.027489438120749554,0.0007556692081945187
2025-04-20,-0.0054135252493549,0.019785421217896726,-0.029233177078082484,0.019085063906824296,-0.0018422615825690143,3.393927738609689e-06,0.019785421217896726,0.00039146289276959797
2025-04-27,-0.0022264476968281,0.10504094137701969,0.004858902590379799,-0.038700534318111934,0.002557726388953712,6.5419642807501944e-06,0.10504094137701969,0.011033599365370487
2025-05-04,-0.0053462800946931,0.013767922909860175,0.0040587110487440015,0.06995799187228346,-0.005553097783213773,3.083689498993372e-05,0.013767922909860175,0.00018955570125185267
2025-05-11,-0.0055194324887767,0.03365882838182088,-0.030375764606938915,0.04547429923710489,-0.007392020330887127,5.4641964572248626e-05,0.03365882838182088,0.001132916728036871
2025-05-18,-0.0059239799437151,0.04368889108850382,0.011804784508085753,0.12904973614643467,-0.003523105215711416,1.2412270360972983e-05,0.04368889108850382,0.0019087192045431488
2025-05-25,-0.0025309945292353,0.020361882501159556,-0.01388106552609436,0.011741107061668643,-0.0011863641817685317,1.4074599717833179e-06,0.020361882501159556,0.0004146062589910277
2025-06-01,-0.0077171445600563,-0.01530109385194578,-0.01202140988255529,0.02214402696539164,-0.007323583003541041,5.363486800975522e-05,0.01530109385194578,0.00023412347306605295
2025-06-08,-0.0053133153242719,-0.026130942158161474,-5.8329534925682935e-05,0.031022702676780867,0.0019501972046247927,3.8032691369263554e-06,0.026130942158161474,0.0006828261380731807
2025-06-15,-0.0038372718501978,0.023804477381620615,-0.008631500027163064,0.020048931386435598,-0.00232497094155462,5.4054898790733755e-06,0.023804477381620615,0.0005666531434120874
