metric,count,mean,std,min,max
corr_8w,98.0,-0.04051268854436375,0.43859988551523177,-0.8972917461445075,0.7423548437086263
beta_8w,98.0,-0.016600327971729688,0.06272473517074564,-0.3395313646501782,0.20477436274538308
corr_12w,94.0,-0.0773534560947922,0.3582782325704255,-0.6550314974394519,0.6457374039587281
beta_12w,94.0,-0.018027662443389828,0.0465543133303242,-0.16475340823227738,0.074235981310533
corr_24w,82.0,-0.1254589727553474,0.1797949753936445,-0.3842321623474331,0.27000770477926594
beta_24w,82.0,-0.02295832819692372,0.03377518837253449,-0.12159048852586567,0.020200843801685662
