,gpu_index,log_btc_krw,log_usdkrw,log_nvda,log_gpu_index
2024-03-03,100.0,18.237997171315513,7.1968363357777285,4.409504745233904,4.605170185988092
2024-03-10,100.21911313488891,18.304502322987304,7.191656376626781,4.476549826186778,4.607358920309516
2024-03-17,100.5294554695617,18.34465928360766,7.1813193487656175,4.486309720245325,4.610450773806237
2024-03-24,100.73571402948946,18.287712478526398,7.195520573846055,4.507739725920997,4.612500394539401
2024-03-31,100.84591553890924,18.363263366218757,7.204202536757765,4.521462545958599,4.613593763222194
2024-04-07,100.83428423323647,18.335228661263677,7.207525025514727,4.482723527565938,4.613478419170583
2024-04-14,100.8636991226067,18.352508274384007,7.21296151681271,4.47277149564393,4.613770091790104
2024-04-21,101.1087775446141,18.29133631914861,7.231798069296727,4.425114551668878,4.616196942679256
2024-04-28,101.01433844691992,18.303234294790233,7.225758294676583,4.410345201737622,4.615262471586197
2024-05-05,100.9498395549576,18.251925852075264,7.226463484439589,4.4577151673426805,4.614623755406
2024-05-12,101.01170087121383,18.25055038374345,7.2140994509532845,4.503010933118326,4.61523636034118
2024-05-19,100.90268555463102,18.29666393384985,7.214645535871156,4.528047892316552,4.614156543007653
2024-05-26,100.75897384379029,18.3653135142634,7.216761461883972,4.594066035661457,4.612731267270088
2024-06-02,100.59807877657389,18.354395701955116,7.220449577454351,4.719659011756813,4.611133159834906
2024-06-09,100.39329554791746,18.38101457611287,7.224103646804634,4.779544270331285,4.6090954276167375
2024-06-16,100.35886498657943,18.344765468861844,7.226136776536468,4.834237463038468,4.608752412013977
2024-06-23,100.50874133236864,18.3117537789629,7.231703463662129,4.874247600270584,4.610244702148255
2024-06-30,100.53438120228678,18.256184123338567,7.236441162133708,4.816483902017394,4.610499770511041
2024-07-07,100.28641025125091,18.21511714202905,7.2317416190596,4.829853673162912,4.608030194773706
2024-07-14,100.34899155087253,18.200846794029125,7.22925325779305,4.868577228738321,4.608654025873193
2024-07-21,100.38252740441506,18.32736269221531,7.230461868014112,4.805882335144668,4.608988162276177
2024-07-28,100.63852579395996,18.344996266779393,7.233389940734225,4.762060735622801,4.611535144533634
2024-08-04,100.8549651381323,18.276219629378776,7.227481645624328,4.697035771899835,4.61368349608998
2024-08-11,100.8912842566858,18.192529508028162,7.221674287780429,4.630700674731633,4.61404354361557
2024-08-18,100.92472664390132,18.199351830975935,7.217404430514328,4.770254706898834,4.6143749582280424
2024-08-25,101.06299352955725,18.22452509173115,7.197515316908264,4.849613144071678,4.61574402073475
2024-09-01,100.68526657628628,18.18887977997192,7.192393875787881,4.814900167095369,4.611999478953484
2024-09-08,100.63290784672454,18.135152551351887,7.1971836469678365,4.663372062756896,4.611479319947549
2024-09-15,100.7214298077661,18.175117131363738,7.200012383685691,4.73406958450867,4.612358585502747
2024-09-22,100.94542947760604,18.22401637462679,7.1886231697754255,4.752437623605614,4.614580068623507
2024-09-29,100.94356968250804,18.263727954156813,7.191164177348247,4.796915863014929,4.614561644686534
2024-10-06,100.83095570250929,18.22793372770247,7.186563541720387,4.795222295031904,4.613445408714953
2024-10-13,100.76393403330252,18.2395672585153,7.20374815353335,4.8865504365066705,4.61278049432388
2024-10-20,100.73689613261378,18.34302256167967,7.215670830473694,4.9125725612361375,4.612512129167977
