series,adf_stat,p_value,used_lag,nobs,crit_1pct,crit_5pct,crit_10pct
d_log_gpu_index,-4.7188560601154395,7.755057258632369e-05,1,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444
d_log_btc_krw,-7.86609877327128,5.1299795144736716e-12,0,105,-3.4942202045135513,-2.889485291005291,-2.5816762131519275
