lag_week,corr_gpu_btc,n
0,-0.22162283475375663,105
1,-0.06761816125231611,104
2,0.07318274147471535,103
3,0.05625884833749322,102
4,0.07173652201365652,101
5,0.06752839247941779,100
6,0.009219048297480447,99
7,0.06848325985942856,98
8,0.05414384315989337,97
