lag_week,corr_gpu_btc,n,conf_band_95
0,-0.22162283475375663,105,0.19900784836618934
1,-0.06761816125231611,104,0.19900784836618934
2,0.07318274147471535,103,0.19900784836618934
3,0.05625884833749322,102,0.19900784836618934
4,0.07173652201365652,101,0.19900784836618934
5,0.06752839247941779,100,0.19900784836618934
6,0.009219048297480447,99,0.19900784836618934
7,0.06848325985942856,98,0.19900784836618934
8,0.05414384315989337,97,0.19900784836618934
