term,coef,se_HAC,t_HAC,p_value_HAC
Intercept,0.00011155699382618396,0.0005054161104242013,0.22072306664809901,0.8253080697987824
btc_krw_ret_l0,-0.0032228356994145925,0.01498490434874498,-0.2150721569126674,0.8297110615032312
btc_krw_ret_l1,0.01803950949554036,0.01334108225844187,1.3521773680786247,0.17631858184047355
btc_krw_ret_l2,0.0312122993424416,0.02109518981817037,1.4795931969077067,0.13898184314018705
btc_krw_ret_l3,-0.018549398426824706,0.010295308400978259,-1.8017331491557984,0.07158739999029126
btc_krw_ret_l4,0.00531068535853391,0.013864931183872779,0.3830300553320539,0.7016974794187263
btc_krw_ret_l5,0.003056570040420781,0.010197680070567473,0.29973190169425384,0.7643816626980491
btc_krw_ret_l6,-0.021012279067834472,0.008825423666441389,-2.3808804950331752,0.01727131397854586
btc_krw_ret_l7,0.02585692777781054,0.014751737487454827,1.7528055796681434,0.07963538508196737
btc_krw_ret_l8,0.006244444258516863,0.015091991254171148,0.4137588044779057,0.6790507564959318
fx_ret,-0.07082926856367144,0.11466715587967716,-0.6176944742398094,0.5367767551632561
nvda_ret,0.01707944355347342,0.013692549489640504,1.2473530635324976,0.2122680686288385
gpu_ret_l1,0.7640131709429143,0.17288340812022496,4.419239412561855,9.904887302617091e-06
