regime_type,regime,n,corr,beta
time_regime,early,52,-0.09284859753346802,-0.006060989162502567
time_regime,late,53,-0.33879151714302375,-0.09445066710981466
btc_vol_regime,high_btc_vol,47,-0.28476290663821946,-0.048232302556506394
btc_vol_regime,low_btc_vol,47,-0.17825590205443306,-0.04574174397206529
