,gpu_index,log_btc_krw,log_usdkrw,log_nvda,log_gpu_index,ec_term,d_log_gpu,d_log_btc,d_log_usdkrw,d_log_nvda,ec_l1,d_log_btc_l0,d_log_btc_l1,d_log_btc_l2,d_log_btc_l3,d_log_btc_l4,d_log_btc_l5,d_log_btc_l6,d_log_btc_l7,d_log_btc_l8
2024-03-03,100.0,18.237997171315513,7.1968363357777285,4.409504745233904,4.605170185988092,-0.032844073454236344,,,,,,,,,,,,,,
2024-03-10,100.21911313488891,18.304502322987304,7.191656376626781,4.476549826186778,4.607358920309516,-0.029648374794307486,0.0021887343214244126,0.06650515167179094,-0.005179959150947155,0.06704508095287398,-0.032844073454236344,0.06650515167179094,,,,,,,,
2024-03-17,100.5294554695617,18.34465928360766,7.1813193487656175,4.486309720245325,4.610450773806237,-0.025948498817058407,0.003091853496720809,0.040156960620354454,-0.010337027861163861,0.009759894058547047,-0.029648374794307486,0.040156960620354454,0.06650515167179094,,,,,,,
2024-03-24,100.73571402948946,18.287712478526398,7.195520573846055,4.507739725920997,4.612500394539401,-0.02476111808285797,0.002049620733163948,-0.056946805081260266,0.014201225080437752,0.021430005675671993,-0.025948498817058407,-0.056946805081260266,0.040156960620354454,0.06650515167179094,,,,,,
2024-03-31,100.84591553890924,18.363263366218757,7.204202536757765,4.521462545958599,4.613593763222194,-0.022523822234482793,0.0010933686827927502,0.07555088769235851,0.00868196291170964,0.013722820037601835,-0.02476111808285797,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094,,,,,
2024-04-07,100.83428423323647,18.335228661263677,7.207525025514727,4.482723527565938,4.613478419170583,-0.023063643900543163,-0.00011534405161039984,-0.028034704955079093,0.003322488756961839,-0.03873901839266125,-0.022523822234482793,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094,,,,
2024-04-14,100.8636991226067,18.352508274384007,7.21296151681271,4.47277149564393,4.613770091790104,-0.022510338102871508,0.0002916726195207886,0.017279613120329884,0.005436491297983181,-0.009952031922007443,-0.023063643900543163,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094,,,
2024-04-21,101.1087775446141,18.29133631914861,7.231798069296727,4.425114551668878,4.616196942679256,-0.02100970083612541,0.0024268508891518437,-0.0611719552353982,0.018836552484017055,-0.047656943975051824,-0.022510338102871508,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094,,
2024-04-28,101.01433844691992,18.303234294790233,7.225758294676583,4.410345201737622,4.615262471586197,-0.021764022920117476,-0.0009344710930587752,0.01189797564162376,-0.006039774620144378,-0.01476934993125667,-0.02100970083612541,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094,
2024-05-05,100.9498395549576,18.251925852075264,7.226463484439589,4.4577151673426805,4.614623755406,-0.0231796078206985,-0.0006387161801972852,-0.05130844271496926,0.0007051897630061532,0.047369965605058795,-0.021764022920117476,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454,0.06650515167179094
2024-05-12,101.01170087121383,18.25055038374345,7.2140994509532845,4.503010933118326,4.61523636034118,-0.0225878290549808,0.0006126049351804497,-0.001375468331811902,-0.012364033486304216,0.04529576577564587,-0.0231796078206985,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266,0.040156960620354454
2024-05-19,100.90268555463102,18.29666393384985,7.214645535871156,4.528047892316552,4.614156543007653,-0.022969434305507797,-0.0010798173335269112,0.04611355010639784,0.0005460849178717808,0.025036959198225794,-0.0225878290549808,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851,-0.056946805081260266
2024-05-26,100.75897384379029,18.3653135142634,7.216761461883972,4.594066035661457,4.612731267270088,-0.0233552765917997,-0.0014252757375654568,0.06864958041354896,0.0021159260128156276,0.06601814334490452,-0.022969434305507797,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093,0.07555088769235851
2024-06-02,100.59807877657389,18.354395701955116,7.220449577454351,4.719659011756813,4.611133159834906,-0.02511869223803842,-0.0015981074351820723,-0.010917812308282038,0.003688115570379402,0.1255929760953567,-0.0233552765917997,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884,-0.028034704955079093
2024-06-09,100.39329554791746,18.38101457611287,7.224103646804634,4.779544270331285,4.6090954276167375,-0.02675338414528028,-0.0020377322181683866,0.0266188741577551,0.003654069350282896,0.05988525857447158,-0.02511869223803842,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982,0.017279613120329884
2024-06-16,100.35886498657943,18.344765468861844,7.226136776536468,4.834237463038468,4.608752412013977,-0.027645252842678936,-0.0003430156027608433,-0.03624910725102737,0.0020331297318341157,0.05469319270718298,-0.02675338414528028,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376,-0.0611719552353982
