variable,VIF
sox_ret,5.2590534381323755
nasdaq_ret,4.665533443474092
nvda_ret,2.911411669616774
btc_krw_ret_l0,1.4588512680070969
gpu_ret_l1,1.1775224711987367
fx_ret,1.0504571155705258
