term,coef,se_HAC,t_HAC,p_value_HAC
Intercept,0.0001115569331527563,0.000505416091243004,0.22072295497833636,0.8253081567541778
btc_krw_ret_l0,-0.003222836454433586,0.01498490445453548,-0.21507220577960576,0.829711023404473
btc_krw_ret_l1,0.01803950738222545,0.013341081703485575,1.3521772659193245,0.17631861451351305
btc_krw_ret_l2,0.031212303910480046,0.021095191543610843,1.4795932924312982,0.1389818176323992
btc_krw_ret_l3,-0.018549401367030573,0.010295308936936223,-1.801733340947288,0.0715873698007335
btc_krw_ret_l4,0.00531068374176557,0.013864931438227375,0.38302993169683774,0.7016975710880765
btc_krw_ret_l5,0.0030565697652951036,0.010197680009630996,0.29973187650606675,0.7643816819125291
btc_krw_ret_l6,-0.021012277852684887,0.008825423236734497,-2.3808804732700457,0.017271314998879787
btc_krw_ret_l7,0.02585692783723447,0.014751737378580093,1.7528055966329366,0.07963538216896253
btc_krw_ret_l8,0.006244444544435086,0.01509199128517214,0.4137588225730188,0.679050743242555
fx_ret,-0.07082925599000892,0.11466715336062572,-0.6176943781559872,0.5367768185120838
nvda_ret,0.017079449892563818,0.013692552099106865,1.247353288776449,0.2122679860752439
gpu_ret_l1,0.764013178193895,0.1728834075538523,4.419239468980902,9.90488471708292e-06
