model,r2,adj_r2,aic,bic
controls_only,0.009101018008694228,-0.012208637518000609,-615.2109549053339,-607.5179103309304
controls_plus_gpu_l1,0.5138047385100045,0.49795054520054816,-681.5631735820089,-671.3057808161375
controls_plus_btc_lags,0.09897114242576488,-0.019020731780384992,-606.338184495122,-575.566006197508
full_btc_lags_controls_gpu_l1,0.5623912846164019,0.49912255468142386,-673.670547846717,-640.3340213576352
