lag_week,partial_corr_gpu_btc,n
0,0.0380552036339714,103
1,0.1560286298229043,103
2,0.18553896495999903,102
3,0.004277128262523769,101
4,0.006428314017982601,100
5,0.02354132283082543,99
6,-0.050417290612309255,98
7,0.11211905654891899,97
8,0.042748129513373465,96
