K_btc_lag,n,aic,bic,ec_l1_coef,ec_l1_p
0,106,-691.2230521355838,-677.9058566650234,-0.0021952780863588152,0.9219552650885223
1,105,-681.7246656211827,-665.8009035202375,-0.0018434008651989336,0.9362701032287213
2,104,-673.0095448304191,-654.4988085364296,0.0014529747305098758,0.955391965929498
3,103,-663.6543369589826,-642.5765050531455,0.0026119926196859038,0.9225615693089708
4,102,-654.952260909971,-631.3275055904126,0.00551176498194458,0.8270169112657187
5,101,-645.8131179369443,-619.6619127685317,0.006948780695165028,0.7700208803102448
6,100,-636.588461543607,-607.931589497738,0.0052168320857249135,0.8204268545623448
7,99,-627.7578991264312,-596.6164609248161,0.007518116791921535,0.7439074384719966
8,98,-618.9195115641769,-585.3149343414594,0.007415637973856971,0.7438199143097468
