term,coef,se_HAC,t_HAC,p_value_HAC
Intercept,0.00029653848236563344,0.0005274261066120791,0.5622370198366706,0.5739545419231328
btc_krw_ret_l0,-0.011282665955986353,0.020940163059943402,-0.5388050667842721,0.5900213671299803
btc_krw_ret_l1,0.025461594299270432,0.01675566800661032,1.5195809733891548,0.12861632283383326
btc_krw_ret_l2,0.03536656896227882,0.022735623747411705,1.555557452709212,0.11981336276639187
btc_krw_ret_l3,-0.022352125551776618,0.014856783257442475,-1.5045064038730838,0.13245102570663012
btc_krw_ret_l4,0.009652935957191773,0.02038187758074741,0.4736038629880632,0.6357824202480595
btc_krw_ret_l5,0.004486784970561798,0.014877676532381071,0.3015783385797082,0.7629735228994313
btc_krw_ret_l6,-0.023521856045797825,0.011023707777875664,-2.1337517756961653,0.0328631053435344
btc_krw_ret_l7,0.024433156192775987,0.017340436534087445,1.4090277453365048,0.1588269641786636
btc_krw_ret_l8,0.011213416928137928,0.021245496419318,0.5278020671685434,0.5976367222407897
fx_ret,-0.024792572194330842,0.11390883815929138,-0.21765275280624524,0.8276996788642135
nvda_ret,0.026446631879908217,0.017766582502108802,1.4885604407470676,0.1366031552269493
gpu_ret_l1,0.7601996821497503,0.1600644556818092,4.749334753375509,2.0408687939444193e-06
