lag_week,partial_corr_gpu_btc,n
0,0.03805519883119052,103
1,0.15602862323466626,103
2,0.1855389835379295,102
3,0.004277117774102909,101
4,0.006428304802257702,100
5,0.02354131885114117,99
6,-0.05041728265150264,98
7,0.11211905816087567,97
8,0.04274812566103748,96
