Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,0,0,0,0,0,0,0,0,0,0,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280
21593336,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,0,0,0,0,0,0,0,0,0,0,0
21593336,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,0,0,0,0,0,0,0,0,0,0,0
20754014,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,0,0,0
20754014,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,0,0,0
20754092,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,101410,101400,101380,99200,0,0,102690,102570,102560,0,102930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110900,110900,110890,110890
20754092,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,56300,56280,56220,54490,0,0,56690,56570,56560,0,57040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58710,58590,59320,59320
20754074,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,102820,102710,0,0,0,102550,0,102930,106760,110810,110800,110790,110710,110900,110900,110900,110900,110900,110900,110900,110900,0,0,0,0
20754074,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,56750,56690,0,0,0,56550,0,56580,58460,58450,58440,58430,58350,58270,58260,59060,59000,58890,58800,58770,58760,0,0,0,0
20102777,ADATA XPG DDR4-3200 CL16 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800
