Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31
21593018,ADATA DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA GAMMIX D35 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,105970,105970,105970,105970,105970,105970,105970,105970,105970,0,0,0,105970,105970,105970,105970,105970,105970,105970,105970,105970,105970,105970,105970,105970,105970
21593018,ADATA DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA GAMMIX D35 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,71960,71960,71960,71960,71960,71960,71960,71960,71960,0,0,0,71960,71960,71960,71960,71960,71960,71960,71960,71960,71960,71960,71960,71960,71960
21593303,ADATA DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,105970,105970,105970,105970,105970,105970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105970,0,0,0,105970,105970,105970,105970
20754032,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,110330,110330,110330,110330,110330,110330,110330,110330,0,110330,110330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110330,110330,110330
20754032,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,60490,60490,60490,60490,60490,60490,60490,60490,0,60490,60490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60490,60490,60490
20754014,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,110330,0,0,110330,110330,110330,110330,110330,110330,110330,110330,0,0,0,110330,110330,110330,110330,110330,110330,0,0,0
20754014,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,60490,0,0,60490,60490,60490,60490,60490,60490,60490,60490,0,0,0,60490,60490,60490,60490,60490,60490,0,0,0
20754092,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,106100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754092,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,60190,60190,60320,60320,60320,60320,60320,60320,60320,60320,60320,60320,60770,60770,60770,60770,60770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754074,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106100,106100,106100,106100,106100,106100,107900,107900,107900,107900,107900,107900,107900,107900
