Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31
30002912,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,64GB(32GX2),64,361870,361850,361830,361870,365000,365000,365000,365000,365000,365000,365000,560430,560430,560440,560440,560440,560440,560440,560440,560440,560440,0,0,0,0,0,0,354040,354040,354040,354040
30002912,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,48GB(24GX2),48,247990,247990,247970,248000,225000,248000,242500,242500,242500,242500,242500,242500,242500,250000,249990,249990,250000,250000,250000,250000,250000,0,0,0,0,0,0,250000,249990,249980,249990
30002912,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,32GB(16GX2),32,191900,191900,191900,191900,175500,191900,189150,189150,189150,189150,189150,189150,189150,189150,194920,194910,194920,194920,194890,194870,194850,0,0,0,0,0,0,194990,194990,194980,194990
30002834,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560440,560440,560440,419800,433490,354040,0,0,0,0
30002834,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,48GB(24GX2),48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,250000,250000,250000,250000,0,0,0,0
30002834,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194830,194820,194830,194810,194990,194990,0,0,0,0
72587687,ESSENCORE KLEVV DDR5-6400 CL32 URBANE V RGB 패키지 서린,ESSENCORE KLEVV URBANE V RGB 패키지 서린,DDR5,6400,CL32,32GB(16GX2),32,194680,194680,194680,194690,185100,195000,189150,189150,189150,189150,189150,189150,189150,189150,194680,194680,194690,194690,194690,194680,194690,194690,194680,194690,194690,189150,189150,189150,189150,189150,189150
74340050,ESSENCORE KLEVV DDR5-6400 CL52 CUDIMM 파인인포,ESSENCORE KLEVV CUDIMM 파인인포,DDR5,6400,CL52,16GB,16,76220,76200,76180,76220,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,76200,76200,76200,76200,78380,78380,78380,78380,78380,78380,78380,78380,78380
27894749,ESSENCORE KLEVV DDR5-6800 CL34 BOLT V 패키지 서린,ESSENCORE KLEVV BOLT V 패키지 서린,DDR5,6800,CL34,32GB(16GX2),32,177980,177980,177960,178000,160200,178000,172660,172660,172660,172660,172660,172660,172660,172660,177990,177990,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,177990,178000
64376690,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB ROG 패키지 서린,ESSENCORE KLEVV CRAS V RGB ROG 패키지 서린,DDR5,7200,CL34,48GB(24GX2),48,275000,275000,275000,275000,275000,275000,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64376690,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB ROG 패키지 서린,ESSENCORE KLEVV CRAS V RGB ROG 패키지 서린,DDR5,7200,CL34,32GB(16GX2),32,199980,199960,199940,200000,180000,200000,194000,194000,194000,194000,194000,194000,194000,194000,199990,199990,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
37989197,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7200,CL34,48GB(24GX2),48,256500,256500,256500,256500,256500,270000,261900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37989197,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7200,CL34,32GB(16GX2),32,194990,194990,195000,195000,175500,195000,189150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37989224,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7200,CL34,48GB(24GX2),48,0,0,0,0,0,0,0,261900,261900,261900,261900,261900,261900,261900,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,269990,269990,269990,269990,269980,269990
37989224,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,0,0,189150,189150,189150,189150,189150,189150,189150,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000
30002993,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7200,CL34,48GB(24GX2),48,269980,269980,269960,270000,243000,270000,261900,261900,261900,261900,261900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269990
30002993,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7200,CL34,32GB(16GX2),32,194980,194980,194960,195000,175500,195000,189150,189150,189150,189150,189150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000
27886676,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7200,CL34,48GB(24GX2),48,0,0,0,0,0,0,0,0,0,0,0,261900,261900,261900,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,269990,269980,0
27886676,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,189150,189150,189150,195000,195000,195000,195000,195000,195000,195000,195000,194970,195000,195000,195000,195000,195000,195000,194990,0
27892502,ESSENCORE KLEVV DDR5-7200 CL36 CRAS XR5 RGB 패키지 서린,ESSENCORE KLEVV CRAS XR5 RGB 패키지 서린,DDR5,7200,CL36,32GB(16GX2),32,209990,209990,209980,210000,189000,210000,203700,203700,203700,203700,203700,203700,203700,203700,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000
37989251,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7600,CL36,32GB(16GX2),32,225000,225000,225000,225000,220500,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000
37989251,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB White 패키지 서린,ESSENCORE KLEVV CRAS V RGB White 패키지 서린,DDR5,7600,CL36,48GB(24GX2),48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311770
30268556,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7600,CL36,48GB(24GX2),48,320000,320000,320000,320000,288000,0,0,0,0,310400,310400,0,0,310400,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,0,0,320000,320000,320000,320000
30268556,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7600,CL36,32GB(16GX2),32,244980,244980,244960,245000,220500,0,0,0,0,237650,237650,0,0,237650,244990,244990,245000,245000,245000,245000,245000,245000,245000,245000,245000,0,0,245000,245000,245000,245000
27886853,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7600,CL36,48GB(24GX2),48,0,0,0,0,0,320000,310400,310400,310400,0,0,310400,310400,0,0,0,0,0,0,0,0,0,0,0,0,320000,320000,0,0,0,0
27886853,ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,7600,CL36,32GB(16GX2),32,0,0,0,0,0,245000,237650,237650,237650,0,0,237650,237650,0,0,0,0,0,0,0,0,0,0,0,0,245000,245000,0,0,0,0
27886973,ESSENCORE KLEVV DDR5-8000 CL38 CRAS V RGB 패키지 서린,ESSENCORE KLEVV CRAS V RGB 패키지 서린,DDR5,8000,CL38,32GB(16GX2),32,350000,350000,350000,350000,315000,350000,339500,339500,339500,339500,339500,339500,339500,339500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19240181,ESSENCORE KLEVV 노트북 DDR4-2666 CL19 중고,ESSENCORE KLEVV 노트북 중고,DDR4,2666,CL19,4GB,4,0,0,0,12000,0,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,0,0,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
9391296,ESSENCORE KLEVV 노트북 DDR4-2666 CL19 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,2666,CL19,16GB,16,34120,34110,34090,34070,34050,33990,33970,33970,33970,33950,33970,33890,33890,33870,33870,33870,33870,33850,33850,33850,33830,34500,34500,34500,34500,34500,43860,43860,43860,43860,43860
9391296,ESSENCORE KLEVV 노트북 DDR4-2666 CL19 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,2666,CL19,8GB,8,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,17000,17000,17000,17000,17000,17000,17000,17000,17000
9391296,ESSENCORE KLEVV 노트북 DDR4-2666 CL19 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,2666,CL19,4GB,4,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300
14205968,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,32GB,32,68500,68470,68450,68420,70780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14205968,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,16GB,16,31000,30990,30900,29600,29570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14205968,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,8GB,8,16250,16240,16240,16300,16230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11787178,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,32GB,32,0,0,0,0,0,70760,70740,70720,70710,70700,70700,70670,70670,70650,70620,70600,70570,70550,70550,70550,70530,70520,70480,70490,72730,72730,72710,72690,72680,72660,72670
11787178,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,16GB,16,0,0,0,0,0,29550,29530,29510,29500,29490,29490,29470,29470,29450,29420,29380,29350,29330,29330,30990,31630,32620,32620,32630,32630,32630,32610,32590,32620,32600,32610
11787178,ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR4,3200,CL22,8GB,8,0,0,0,0,0,16210,16190,16170,16160,16170,16170,16150,16150,16130,16100,16080,16070,16070,16070,16070,16500,16490,16490,17370,17340,17340,17320,17290,17280,17260,17270
28208825,ESSENCORE KLEVV 노트북 DDR5-5600 CL46 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR5,5600,CL46,32GB,32,118680,118680,118680,118680,118680,118680,118680,118680,118680,118680,118170,118170,118170,0,0,0,0,0,0,127260,144480,143050,143040,143040,143030,143090,125600,125590,125580,125540,125430
28208825,ESSENCORE KLEVV 노트북 DDR5-5600 CL46 파인인포,ESSENCORE KLEVV 노트북 파인인포,DDR5,5600,CL46,16GB,16,57440,57440,57420,57400,57440,57440,57440,57440,57440,57420,57420,58180,58060,57970,59340,59330,59310,59310,59310,61750,63750,63750,63740,63740,63740,63740,63740,63740,63740,63740,63740
6540147,G.SKILL DDR4-2666 CL19 AEGIS,G.SKILL AEGIS,DDR4,2666,CL19,16GB,16,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,0,0,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710,34710
6540147,G.SKILL DDR4-2666 CL19 AEGIS,G.SKILL AEGIS,DDR4,2666,CL19,8GB,8,17770,17730,17720,17710,17710,17710,17710,17710,17710,17710,0,0,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17780,17780,17780,17780,17780,17780
6002268,G.SKILL DDR4-2666 CL19 AEGIS,G.SKILL AEGIS,DDR4,2666,CL19,16GB,16,0,0,0,0,0,0,0,0,0,0,35670,35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002268,G.SKILL DDR4-2666 CL19 AEGIS,G.SKILL AEGIS,DDR4,2666,CL19,8GB,8,0,0,0,0,0,0,0,0,0,0,17710,17710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
