Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31
21593336,ADATA DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96820,96820,0,0,0,0,0,0,0,0,0,0,0
21593336,ADATA DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58280,58280,0,0,0,0,0,0,0,0,0,0,0
20754032,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,0
20754032,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,60490,0
20754014,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110330
20754014,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60490
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,32GB,32,84600,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,0,0,0,0,0,0,0,0,0,0,0,0,0
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,16GB,16,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,8GB,8,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,18900,18900,18900,18900,18900,18900,18900,18900,0,0,0,0,0,0,0,0,0,0,0,0,0
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43110,44180,44080,44050,44190,44180,44090,42700,42700,42700,42700,42700,42700
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,18900,18900,18900,18900,18900,18900,18900,18900,18900,18900,18900,18900
21592844,ADATA DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA GAMMIX D35 블랙 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113710,113710,113710,113710
21592844,ADATA DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA GAMMIX D35 블랙 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61460,61460,61460,61460
15592385,ADATA DDR5-4800 CL40,ADATA,DDR5,4800,CL40,16GB,16,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,32GB,32,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145600,145600,145600,145600,145600,145600
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,16GB,16,80450,80450,80450,80450,80450,80450,80450,80450,73300,73300,68000,68000,68000,68000,68000,68000,68000,68000,80420,80420,80420,80420,80420,80420,80420,68070,68070,68070,68070,68070,68070
51553754,ADATA DDR5-5600 CL46 PMIC락,ADATA PMIC락,DDR5,5600,CL46,16GB,16,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,66340,71930,71930,71930,71930,71930
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,32GB(16GX2),32,138750,138740,135530,135450,135450,135410,135330,135220,135100,134980,134860,134740,134620,134500,134380,134260,134140,134020,133830,133780,133660,133540,133420,133300,133290,133260,133210,133180,133060,132940,0
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,64GB(32GX2),64,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,237990,237990,237990,237990,238000,251440,251410,256350,0
46100672,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256310
46100672,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132930
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,64040,0,0,0,0,0,0,0,0,0,0,64990,64990,63590,63580,63580,63580,64990,64990,64990,0,0,0,55530,55530,55530,55530,55530,55530,55530,55530
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,117210,0,0,0,0,0,0,0,0,0,0,118990,118980,116400,116370,116390,116380,116260,117900,118990,0,0,0,118180,118230,118990,119000,118990,118990,119000,119000
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,0,64040,62870,62870,64220,64990,64990,64990,64880,64220,64990,0,0,0,0,0,0,0,0,0,64990,55530,55530,0,0,0,0,0,0,0,0
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,0,112430,117270,117270,118680,119490,119490,119490,119500,119500,118990,0,0,0,0,0,0,0,0,0,118980,118860,118180,0,0,0,0,0,0,0,0
60247529,ADATA DDR5-6000 CL30 LANCER BLADE 화이트,ADATA LANCER BLADE 화이트,DDR5,6000,CL30,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,78750,78750,78750,78750,78100,77990,77990,78750,78750,78750,78000,77990,77990
21593018,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,0,0,96820,96820,96820,96820,96820,96820,96820,96820,105970,105970,105970,105970,0
21593018,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,0,0,58280,58280,58280,58280,58280,58280,58280,58280,71960,71960,71960,71960,0
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,0,0,96820,96820,96820,96820,96820,96820,105970,105970,105970,105970,105970
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,0,0,58280,58280,58280,58280,58280,58280,0,0,0,0,0
20754092,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,109490,109480,110900,110890,110890,0,0,0,0,0,0,110890,110890,110740,110730,110730,110730,110890,110890,110890,110890,110890,110890,110890,112180,112180,112180,112180,112180,112180,112180
20754092,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,57770,57770,59500,59500,60770,0,0,0,0,0,0,60880,60880,60180,60180,60180,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880,60880
20754074,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,110890,110890,110890,110890,110890,110890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754074,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,60880,60880,60880,60880,60760,60880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102777,ADATA XPG DDR4-3200 CL16 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800,142800
13287515,ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 패키지,ADATA XPG SPECTRIX D50 RGB 패키지,DDR4,3200,CL16,32GB(16GX2),32,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550
9276858,ADATA XPG DDR4-3600 CL17 SPECTRIX D60G RGB 패키지,ADATA XPG SPECTRIX D60G RGB 패키지,DDR4,3600,CL17,16GB(8GX2),16,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300
21592682,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,32GB(16GX2),32,113710,113710,113710,113710,113710,113710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113710,113710,113710,113710,113710,113710,113710,0,0,0,0
21592682,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,16GB(8GX2),16,61410,61410,61410,61410,61410,61410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61410,61410,61410,61410,61410,61410,61460,0,0,0,0
20754161,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3600,CL18,16GB(8GX2),16,62910,62910,62910,62910,62910,0,62910,62910,0,0,0,0,0,0,62910,62910,62910,62910,62910,62910,62910,0,0,0,0,0,0,0,0,0,0
20754203,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,119650,0,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119450,119330,119230,119200,119650,119650,119650,119650,119650,119650,119650,119650,120120,120120,120120,120120,120120,120120
20754203,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,72810,0,71490,71490,73000,73320,73320,73320,73320,73010,73320,73320,73320,72290,72300,68640,68640,68640,68640,68640,68640,68640,68640,68640,68640,68640,69490,69490,69490,69490,69490
20754176,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,119650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754176,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,72810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102375,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,69500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102375,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15593045,ADATA XPG DDR5-5200 CL38 LANCER,ADATA XPG LANCER,DDR5,5200,CL38,16GB,16,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,0,0,0,0,0
15593141,ADATA XPG DDR5-5200 CL38 LANCER RGB 블랙,ADATA XPG LANCER RGB 블랙,DDR5,5200,CL38,16GB,16,168570,166260,159510,159510,168580,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,173040,173040,173040,174840,0,0,0,0,0
15598844,ADATA XPG DDR5-5200 CL38 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,5200,CL38,32GB(16GX2),32,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000
15598841,ADATA XPG DDR5-5200 CL38 LANCER 블랙 패키지,ADATA XPG LANCER 블랙 패키지,DDR5,5200,CL38,32GB(16GX2),32,796430,796430,764520,796430,796430,796430,796430,796430,796430,796430,796430,796430,796430,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436,796436
