Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31
77785742,PATRIOT DDR5-6000 CL30 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,145300,145300,145300,145300,145250,145290,145290,145290,145290,145290,145340,145340,145340,145340,145340,145340,145340,145290,145170,145340,145340,145340,145340
71501267,PATRIOT DDR5-6000 CL30 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6000,CL30,48GB(24GX2),48,0,0,0,0,0,0,227890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71501267,PATRIOT DDR5-6000 CL30 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,145300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75466037,PATRIOT DDR5-6000 CL30 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,269620,0,269460,269420,269400,269360,269240,269120,269410,269410,272630,272630,272630,272630,272630,0,0,0,0,0,0,0,0
75466037,PATRIOT DDR5-6000 CL30 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,127250,0,127250,127250,127200,127240,127240,127240,127240,127240,127290,127290,127290,127290,127290,0,0,0,0,0,0,0,0
75466088,PATRIOT DDR5-6000 CL30 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,0,269500,269460,0,0,0,0,0,0,0,0,0,0,0,0,272630,272630,272590,272470,272350,272240,272210,272170
75466088,PATRIOT DDR5-6000 CL30 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,127250,127250,0,0,0,0,0,0,0,0,0,0,0,0,127290,127290,127240,127130,127290,127290,127290,127290
56144432,PATRIOT DDR5-6000 CL30 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,288970,288970,288960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56144432,PATRIOT DDR5-6000 CL30 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,147980,147980,147980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56144441,PATRIOT DDR5-6000 CL30 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,0,0,0,288960,288960,288960,288960,288960,288960,288960,288980,288970,288980,288980,288980,288980,288980,288980,288970,288980,288980,288940,288940
