Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
20754074,ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,ADATA SPECTRIX D35G RGB 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421990,0,0,0,0
11868160,ADATA DDR4-3200 CL22 코잇,ADATA 코잇,DDR4,3200,CL22,16GB,16,43000,43000,43000,43000,43000,43000,43000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94450319,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,32GB,32,427750,427730,427690,427580,426990,426990,426990,426990,426990,427000,426990,426990,426990,426990,426990,426990,426890,426550,426430,426190,0,0,0,0,0,0,0,426890
94450319,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,16GB,16,204330,204330,204330,204330,204330,204330,204330,204330,204330,204340,204330,204330,204330,204330,204330,204330,204330,204330,204330,204330,0,0,0,0,0,0,0,204330
94450319,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,8GB,8,104230,104210,104150,104150,102110,102110,102110,102110,102110,102120,102110,102110,102110,102110,102110,102110,102110,102110,102110,102110,0,0,0,0,0,0,0,102110
94450340,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419650,419410,419150,419020,409734,426990,426990,0
94450340,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204330,204330,204330,204330,204340,204330,204330,0
94450340,ADATA DDR4-3200 CL22 파인인포,ADATA 파인인포,DDR4,3200,CL22,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102110,102110,102110,102110,102120,102110,102110,0
15598841,ADATA DDR5-5200 CL38 LANCER 블랙 패키지,ADATA LANCER 블랙 패키지,DDR5,5200,CL38,32GB(16GX2),32,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781660,781190,781190,781190,781200,781200,781200,781190
104374652,ADATA DDR5-5600 CL46 ARMAX 서린,ADATA ARMAX 서린,DDR5,5600,CL46,16GB,16,347090,347100,347100,347100,347000,347000,346990,346990,347000,347000,347000,347000,347000,346990,346990,346990,346990,346990,347000,347000,347000,346990,347000,347000,340200,340200,340200,340200
103415363,ADATA DDR5-5600 CL46 ARMAX 파인인포,ADATA ARMAX 파인인포,DDR5,5600,CL46,16GB,16,342900,342900,342900,342900,336020,336020,336020,336020,336020,336030,336020,336020,336020,336020,336020,336020,336020,336020,336000,336000,336000,336020,332300,332280,332290,332280,332280,332280
76071389,ADATA DDR5-5600 CL46 ECC/REG,ADATA ECC/REG,DDR5,5600,CL46,32GB,32,1569990,1569990,1569990,1569600,1569600,1569600,1569600,1569600,1569600,1569600,1569490,1569470,1569490,1569470,1569470,1569470,1569470,1569470,1569450,1569450,1569450,1569430,1569430,1569430,1519490,1519490,1519490,1519470
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,32GB,32,0,0,0,0,0,0,0,0,0,0,1519870,1519860,1519850,1519870,1519870,1519870,1519870,1519870,1519870,1480910,1480900,1480900,1480900,1480900,1489410,1435200,1489400,1608740
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,64GB,64,0,0,0,0,0,0,0,0,0,0,3390490,3390480,3390470,3390470,3390470,3390470,3390470,3390470,3390470,3239490,3239480,3239480,3239480,3239480,3325000,3174000,3325000,3325000
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739930,739920,739920,739920
105818027,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,32GB,32,0,0,0,0,0,0,0,0,0,0,1519870,1519860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105818027,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,64GB,64,0,0,0,0,0,0,0,0,0,0,3390490,3390480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,1519850,1519870,1519870,1519870,1519870,1519870,1519870,1480910,1480900,1480900,1480900,1480900,1489410,1435200,1489400,1608740
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,64GB,64,0,0,0,0,0,0,0,0,0,0,0,0,3390470,3390470,3390470,3390470,3390470,3390470,3390470,3239490,3239480,3239480,3239480,3239480,3325000,3174000,3325000,3325000
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포,ADATA ECC/REG 파인인포,DDR5,5600,CL46,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739930,739920,739920,739920
81036575,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,ADATA LANCER BLADE 블랙 서린,DDR5,5600,CL46,16GB,16,366790,366800,366800,347100,347000,347000,346990,346990,347000,347000,347000,347000,347000,346990,346990,346990,346990,346990,347000,347000,345000,344990,347000,347000,335200,335200,335200,310000
81036575,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,ADATA LANCER BLADE 블랙 서린,DDR5,5600,CL46,32GB,32,642790,642800,642800,642800,642000,642000,641990,641990,642000,642000,642000,642000,642000,641990,641990,641990,641990,641990,642000,642000,632000,632000,642000,642000,623100,623100,623100,610000
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포,ADATA LANCER BLADE 블랙 파인인포,DDR5,5600,CL46,32GB,32,652610,652610,652610,652610,639670,606270,606270,606270,606270,606270,606260,606260,606260,606260,606260,606260,606260,606260,606260,606260,606260,606260,606260,606260,606270,606260,606260,606260
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포,ADATA LANCER BLADE 블랙 파인인포,DDR5,5600,CL46,16GB,16,349930,349930,349930,349930,349930,349930,349930,349930,349930,349940,348000,347980,347980,347980,347980,347980,347980,347980,347980,347980,347980,347980,347980,347980,334160,334150,334150,334150
