group,n,corr_l0,simple_beta_l0,simple_beta_p,intercept
high,97,-0.17786548490783477,-0.036831983262867296,0.08133549359921974,0.0009814508070170402
mid,97,-0.24024476001177977,-0.047617282040970196,0.017774184712334867,0.0014815176168496316
low,97,-0.20080654547248314,-0.03998786093845353,0.048585108058054494,0.002300523717299347
