group,count,mean,std,min,median,max
high,105.0,0.0009276909272738396,0.009907089472245926,-0.0215472801623906,-0.0002833823404221,0.0505677162532321
mid,105.0,0.0015102835595923335,0.00949562121614581,-0.0127227990875927,0.0002763570386996,0.0710361726326668
low,105.0,0.00223694514967308,0.00955202483036894,-0.0096474908127896,0.0006507208244209,0.0823005587286143
