term,coef,se,t,p_value,block
const,0.002551055733542045,0.01131473338530783,0.22546317678634728,0.821618968571167,chip_main_composition_control
is_high,-0.0001919637028683027,0.00046485540033055275,-0.4129535824082064,0.6796406222974551,chip_main_composition_control
is_low,-0.00029016439765986194,0.004164605584784273,-0.06967392031552791,0.9444531998962995,chip_main_composition_control
btc_krw_ret_l0,-0.013178808356899413,0.017911762112379076,-0.7357628062618892,0.46187505995642264,chip_main_composition_control
btc_krw_ret_l1,0.018775761869568728,0.018278493683022333,1.027205096610793,0.3043238987336715,chip_main_composition_control
btc_krw_ret_l2,0.03165278473906932,0.020867733466402454,1.5168290696270899,0.12930984558375222,chip_main_composition_control
btc_krw_ret_l3,-0.018474643133331997,0.009448029438718879,-1.9553964404070587,0.05053629594935421,chip_main_composition_control
btc_krw_ret_l4,0.0010179852512477699,0.01491666162283456,0.0682448443886016,0.945590729497916,chip_main_composition_control
btc_krw_ret_l5,0.007579127973994106,0.0111624058169679,0.6789869583914538,0.4971461253601456,chip_main_composition_control
btc_krw_ret_l6,-0.024060013945483967,0.012794643592650414,-1.8804755108070914,0.06004330087897877,chip_main_composition_control
btc_krw_ret_l7,0.02960394701865627,0.012584168863222242,2.352475347432363,0.018648925905424652,chip_main_composition_control
btc_krw_ret_l8,0.011958928265822172,0.016754487181656365,0.713774652495207,0.4753665358664714,chip_main_composition_control
high_btc_l0,0.012153106922732165,0.014284226736533083,0.850806077703149,0.39487708495202756,chip_main_composition_control
high_btc_l1,-0.013308616737370785,0.011424209716676709,-1.1649485668967785,0.24403981271421948,chip_main_composition_control
high_btc_l2,-0.0013879088194349402,0.015009560372483922,-0.09246831919070099,0.9263259609777308,chip_main_composition_control
high_btc_l3,0.0036350414170882523,0.00842700801705135,0.4313561123631363,0.6662094560372057,chip_main_composition_control
high_btc_l4,0.007526335801687537,0.008868736734674691,0.8486367367588351,0.39608345847032855,chip_main_composition_control
high_btc_l5,0.001820749123650267,0.011437340016512032,0.1591934069479145,0.8735164981173895,chip_main_composition_control
high_btc_l6,0.00625513790384994,0.00817443866524761,0.7652070264399577,0.4441482763015455,chip_main_composition_control
high_btc_l7,-0.016142587597250783,0.010473645508479661,-1.5412577773595106,0.1232540606278331,chip_main_composition_control
high_btc_l8,-0.011542884383441455,0.01755874467961347,-0.6573866522954392,0.5109323319355126,chip_main_composition_control
low_btc_l0,0.015043982806867166,0.01185380954290804,1.2691264147961412,0.20439598054959052,chip_main_composition_control
low_btc_l1,-0.02043692937002184,0.01467067141465921,-1.3930466297269037,0.163605690467564,chip_main_composition_control
low_btc_l2,0.015149783184072271,0.01582064118249731,0.9575960297255701,0.3382665019725676,chip_main_composition_control
low_btc_l3,0.002881706009312442,0.011235179103638747,0.25648954793957324,0.7975728501124897,chip_main_composition_control
low_btc_l4,-0.007939371701269678,0.01548817630150241,-0.5126085567930635,0.6082251664361449,chip_main_composition_control
low_btc_l5,-0.0014600934321037252,0.013274438289648654,-0.10999285997979284,0.912415037467211,chip_main_composition_control
low_btc_l6,0.00876318119416972,0.013487084405346458,0.6497461520071662,0.5158562069089663,chip_main_composition_control
low_btc_l7,-0.016757917960855108,0.013021837234330843,-1.2869088792382108,0.1981260500711397,chip_main_composition_control
low_btc_l8,0.01967898088055646,0.01407968870294269,1.3976857937522087,0.1622074421559413,chip_main_composition_control
fx_ret,-0.11534060070924634,0.13852695026434939,-0.8326221034184554,0.4050578890723765,chip_main_composition_control
nvda_ret,0.015764116080695167,0.012647133484069177,1.2464576340996372,0.21259643356754443,chip_main_composition_control
high_fx_ret,0.14800545882774857,0.09024956317509382,1.6399576199676682,0.10101397900359702,chip_main_composition_control
low_fx_ret,-0.24636175804791882,0.10802855874699653,-2.280524343797823,0.0225766086649661,chip_main_composition_control
high_nvda_ret,-0.0034429236091956723,0.010591076082724252,-0.3250777902362192,0.7451221977014832,chip_main_composition_control
low_nvda_ret,0.01039980854567155,0.011793587601758247,0.8818189084482736,0.37787474474010263,chip_main_composition_control
gpu_ret_l1,0.6410453115069852,0.26182484363141567,2.448374656185865,0.014350235047855481,chip_main_composition_control
log_active_product_n,-0.00031471746822847764,0.001939421352230357,-0.16227390085529836,0.8710901663596433,chip_main_composition_control
new_product_share,-0.026388488118912916,0.011709373284196951,-2.253620879481825,0.024220028658852238,chip_main_composition_control
bridge_ratio,0.018644194490345344,0.0531925145696861,0.35050410083396377,0.7259604130935029,chip_main_composition_control
