date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2024-03-10,high,365,365.0,1.0,5.902633333401366,365,0,0.0
2024-03-10,low,60,60.0,1.0,4.110873864173311,60,0,0.0
2024-03-10,mid,295,295.0,1.0,5.69035945432406,295,0,0.0
2024-03-17,high,372,16.0,0.043010752688172046,5.921578419643816,372,2,0.005376344086021506
2024-03-17,low,62,2.0,0.03225806451612903,4.143134726391533,62,0,0.0
2024-03-17,mid,298,13.0,0.0436241610738255,5.700443573390687,298,3,0.010067114093959731
2024-03-24,high,366,7.0,0.01912568306010929,5.905361848054571,366,5,0.01366120218579235
2024-03-24,low,62,0.0,0.0,4.143134726391533,62,1,0.016129032258064516
2024-03-24,mid,298,8.0,0.026845637583892617,5.700443573390687,298,3,0.010067114093959731
2024-03-31,high,369,8.0,0.02168021680216802,5.91350300563827,369,2,0.005420054200542005
2024-03-31,low,62,2.0,0.03225806451612903,4.143134726391533,62,0,0.0
2024-03-31,mid,298,1.0,0.003355704697986577,5.700443573390687,298,2,0.006711409395973154
2024-04-07,high,376,9.0,0.023936170212765957,5.932245187448011,376,2,0.005319148936170213
2024-04-07,low,62,3.0,0.04838709677419355,4.143134726391533,62,1,0.016129032258064516
2024-04-07,mid,304,11.0,0.03618421052631579,5.720311776607412,304,1,0.003289473684210526
2024-04-14,high,373,5.0,0.013404825737265416,5.924255797414532,373,2,0.005361930294906166
2024-04-14,low,62,0.0,0.0,4.143134726391533,62,1,0.016129032258064516
2024-04-14,mid,302,5.0,0.016556291390728478,5.713732805509369,302,1,0.0033112582781456954
2024-04-21,high,374,7.0,0.01871657754010695,5.926926025970411,374,5,0.013368983957219251
2024-04-21,low,64,4.0,0.0625,4.174387269895637,64,1,0.015625
2024-04-21,mid,295,2.0,0.006779661016949152,5.69035945432406,295,4,0.013559322033898305
2024-04-28,high,381,6.0,0.015748031496062992,5.945420608606575,381,1,0.0026246719160104987
2024-04-28,low,62,2.0,0.03225806451612903,4.143134726391533,62,2,0.03225806451612903
2024-04-28,mid,304,9.0,0.029605263157894735,5.720311776607412,304,1,0.003289473684210526
