date,group,gpu_ret,btc_krw_ret_l0,time_regime,btc_vol_regime
2024-11-03,mid,-0.0014686597049234,0.0432470721497075,early,low_btc_vol
2024-11-03,low,-0.0040111173694038,0.0432470721497075,early,low_btc_vol
2024-11-03,high,-0.0001663291388744,0.0432470721497075,early,low_btc_vol
2024-11-10,low,0.0030989176148647,0.0646987969477272,early,low_btc_vol
2024-11-10,high,0.0015698218971745,0.0646987969477272,early,low_btc_vol
2024-11-10,mid,0.0001464814770561,0.0646987969477272,early,low_btc_vol
2024-11-17,high,0.0007365709173316,0.1897681283424255,early,high_btc_vol
2024-11-17,mid,-0.0006823949555043,0.1897681283424255,early,high_btc_vol
2024-11-17,low,0.000151655559204,0.1897681283424255,early,high_btc_vol
2024-11-24,high,0.0041113398521545,0.0677434983068003,early,high_btc_vol
2024-11-24,mid,0.0034246251188115,0.0677434983068003,early,high_btc_vol
2024-11-24,low,0.0046705663719001,0.0677434983068003,early,high_btc_vol
2024-12-01,high,0.0015895943395237,-0.0071312245327597,early,high_btc_vol
2024-12-01,low,0.0011881655420953,-0.0071312245327597,early,high_btc_vol
2024-12-01,mid,0.0013349598081031,-0.0071312245327597,early,high_btc_vol
2024-12-08,low,-0.0006592110595565,0.0462672790698128,early,high_btc_vol
2024-12-08,high,-2.340298854054645e-05,0.0462672790698128,early,high_btc_vol
2024-12-08,mid,0.0003616475299567,0.0462672790698128,early,high_btc_vol
2024-12-15,low,0.0116343971233989,0.0307560313734285,early,high_btc_vol
2024-12-15,high,0.0075941390547318,0.0307560313734285,early,high_btc_vol
2024-12-15,mid,0.0057556021626341,0.0307560313734285,early,high_btc_vol
2024-12-22,high,0.0026747995408164,0.0038157699591856,early,high_btc_vol
2024-12-22,mid,0.0083842484660975,0.0038157699591856,early,high_btc_vol
2024-12-22,low,0.000360373422632,0.0038157699591856,early,high_btc_vol
2024-12-29,mid,0.0040254334136586,-0.0267282623878237,early,high_btc_vol
2024-12-29,low,0.0020063660292923,-0.0267282623878237,early,high_btc_vol
2024-12-29,high,0.0028512666372602,-0.0267282623878237,early,high_btc_vol
2025-01-05,mid,0.0064305214164313,0.0050274225344075,early,high_btc_vol
2025-01-05,low,0.0017312945846965,0.0050274225344075,early,high_btc_vol
2025-01-05,high,0.006063983473688,0.0050274225344075,early,high_btc_vol
2025-01-12,low,0.0058796483008652,-0.0068580297478497,early,high_btc_vol
2025-01-12,high,0.0193442056658885,-0.0068580297478497,early,high_btc_vol
2025-01-12,mid,0.0110873277094431,-0.0068580297478497,early,high_btc_vol
2025-01-19,high,0.0012199754224303,0.0414024115023998,early,high_btc_vol
2025-01-19,mid,0.0043069060448892,0.0414024115023998,early,high_btc_vol
2025-01-19,low,0.0022679401261212,0.0414024115023998,early,high_btc_vol
2025-01-26,high,0.004038088039949,0.0203205768237566,early,high_btc_vol
2025-01-26,mid,0.0049562337574297,0.0203205768237566,early,high_btc_vol
2025-01-26,low,0.0088656996252175,0.0203205768237566,early,high_btc_vol
2025-02-02,mid,-0.0021180253162709,-0.011270472861252,early,high_btc_vol
2025-02-02,low,-0.0059859720842041,-0.011270472861252,early,high_btc_vol
2025-02-02,high,-0.0009465573481185,-0.011270472861252,early,high_btc_vol
2025-02-09,low,-0.0003550147108569,-0.0409746480380235,early,low_btc_vol
2025-02-09,high,0.0122854360045331,-0.0409746480380235,early,low_btc_vol
2025-02-09,mid,0.0045806379376893,-0.0409746480380235,early,low_btc_vol
2025-02-16,low,0.0012689928229232,-0.0091607328626679,early,low_btc_vol
2025-02-16,high,0.0262991653331438,-0.0091607328626679,early,low_btc_vol
2025-02-16,mid,0.0045570625935688,-0.0091607328626679,early,low_btc_vol
2025-02-23,low,0.0140641063020916,-0.0109043615146369,early,low_btc_vol
2025-02-23,mid,0.0035182781954163,-0.0109043615146369,early,low_btc_vol
2025-02-23,high,0.0096403173018167,-0.0109043615146369,early,low_btc_vol
2025-03-02,mid,0.0046526544211788,-0.0898429512681602,early,low_btc_vol
2025-03-02,low,0.0021624053703031,-0.0898429512681602,early,low_btc_vol
2025-03-02,high,0.0063314200319886,-0.0898429512681602,early,low_btc_vol
2025-03-09,mid,0.0038287650425383,-0.0088169128031019,early,low_btc_vol
2025-03-09,low,-0.0021291447511876,-0.0088169128031019,early,low_btc_vol
2025-03-09,high,7.998753079277999e-05,-0.0088169128031019,early,low_btc_vol
2025-03-16,low,0.0016988734751254,-0.0489238811333372,early,low_btc_vol
2025-03-16,high,-0.0215472801623906,-0.0489238811333372,early,low_btc_vol
2025-03-16,mid,0.0007336001086638,-0.0489238811333372,early,low_btc_vol
2025-03-23,high,-0.0198428348129184,0.0298958795022947,early,low_btc_vol
2025-03-23,mid,-0.0001365344730055,0.0298958795022947,early,low_btc_vol
2025-03-23,low,0.0026587951911636,0.0298958795022947,early,low_btc_vol
2025-03-30,high,-0.0144749384742874,0.0164440130822178,early,low_btc_vol
