group,lag_week,corr,n,approx_95_band,outside_band
high,0,-0.17786548490783477,97,0.19900784836618934,False
high,1,-0.03984422414741616,97,0.19900784836618934,False
high,2,0.09480632289119915,97,0.19900784836618934,False
high,3,0.08389175951400608,97,0.19900784836618934,False
high,4,0.11376503472270845,97,0.19900784836618934,False
high,5,0.1102894305065205,97,0.19900784836618934,False
high,6,0.04227023077785897,97,0.19900784836618934,False
high,7,0.05479103557713654,97,0.19900784836618934,False
high,8,0.0288901254328801,97,0.19900784836618934,False
mid,0,-0.24024476001177977,97,0.19900784836618934,True
mid,1,-0.08312790236464396,97,0.19900784836618934,False
mid,2,0.06397533366450288,97,0.19900784836618934,False
mid,3,0.04163759364809913,97,0.19900784836618934,False
mid,4,0.05927577275844797,97,0.19900784836618934,False
mid,5,0.0470120763031673,97,0.19900784836618934,False
mid,6,-0.00691049511641636,97,0.19900784836618934,False
mid,7,0.0808398689200861,97,0.19900784836618934,False
mid,8,0.05928596801880225,97,0.19900784836618934,False
low,0,-0.20080654547248314,97,0.19900784836618934,True
low,1,-0.12502892907300336,97,0.19900784836618934,False
low,2,0.03934380755668024,97,0.19900784836618934,False
low,3,-0.00306791190469959,97,0.19900784836618934,False
low,4,0.045774562560983334,97,0.19900784836618934,False
low,5,0.015143941267592335,97,0.19900784836618934,False
low,6,-0.014853064530232291,97,0.19900784836618934,False
low,7,0.004352403128333522,97,0.19900784836618934,False
low,8,0.0444630135432517,97,0.19900784836618934,False
